date,open,high,low,close,volume,amount
2026-02-24,1521.0,1524.4,1463.6,1466.8,4191253,6198840572.43
2026-02-25,1470.0,1509.66,1467.88,1491.66,3688067,5490316149.39
2026-02-26,1486.6,1489.49,1464.67,1466.21,3295801,4855471430.1
2026-02-27,1466.99,1476.21,1455.02,1455.02,3216016,4697692477.08
2026-03-02,1450.0,1457.0,1436.66,1440.11,3545386,5115063511.43
2026-03-03,1440.1,1452.87,1422.13,1426.19,4589086,6565381648.19
2026-03-04,1415.0,1423.0,1392.09,1401.18,4801443,6743267103.4
2026-03-05,1406.0,1412.96,1395.0,1399.04,3050524,4276226062.38
2026-03-06,1395.0,1407.5,1388.0,1402.0,2915415,4072328833.32
2026-03-09,1390.0,1404.9,1383.2,1397.0,3744162,5220095639.08
2026-03-10,1404.9,1409.49,1398.0,1401.88,2462592,3457808915.65
2026-03-11,1402.99,1405.99,1398.02,1400.0,2445673,3425363891.78
2026-03-12,1395.0,1403.95,1391.01,1392.0,2758646,3850521716.68
2026-03-13,1392.48,1417.62,1392.0,1413.64,3360783,4738808557.68
2026-03-16,1420.0,1466.0,1420.0,1460.18,6008635,8711525836.03
2026-03-17,1468.0,1498.07,1461.19,1485.0,4945361,7347310632.23
2026-03-18,1489.0,1496.5,1463.15,1468.8,3555100,5239992521.93
2026-03-19,1472.96,1473.0,1446.0,1452.87,3031859,4404953480.91
2026-03-20,1452.96,1462.5,1439.0,1445.0,2613234,3782818260.28
2026-03-23,1433.33,1435.0,1400.03,1408.07,4725589,6669708664.51
2026-03-24,1416.0,1417.59,1400.18,1407.33,2856179,4017694387.36
2026-03-25,1410.11,1417.87,1401.01,1410.27,2609346,3677905549.06
2026-03-26,1409.0,1413.9,1400.3,1401.18,2309289,3243387502.43
2026-03-27,1400.0,1426.0,1396.66,1416.02,3008711,4257499781.14
2026-03-30,1407.0,1431.0,1402.52,1420.0,2868459,4060684934.29
2026-03-31,1468.0,1479.93,1448.41,1450.0,6169066,9015486796.86
2026-04-01,1464.49,1469.99,1452.88,1459.44,2912514,4256185471.72
2026-04-02,1459.44,1464.88,1452.1,1459.88,2106437,3071809845.5
2026-04-03,1459.54,1469.96,1455.0,1460.0,2019373,2953993080.58
2026-04-07,1460.05,1470.0,1435.05,1440.02,2415218,3507471653.28
2026-04-08,1460.0,1469.08,1452.13,1465.02,3383610,4947937006.76
2026-04-09,1465.02,1465.02,1447.5,1460.49,2070476,3012278579.26
2026-04-10,1459.14,1459.71,1441.1,1453.96,2886556,4187181528.88
2026-04-13,1444.0,1446.5,1433.0,1443.31,2521364,3629675490.26
2026-04-14,1442.6,1448.6,1435.0,1446.9,2423261,3492544229.78
2026-04-15,1444.98,1470.79,1442.0,1467.5,3455348,5049317186.54
2026-04-16,1467.45,1477.41,1460.0,1462.84,2451284,3597294838.11
2026-04-17,1400.0,1421.0,1399.87,1407.24,9682499,13631929446.08
2026-04-20,1403.0,1413.94,1400.0,1410.89,3645139,5127146041.45
2026-04-21,1411.0,1419.9,1410.0,1412.01,2175427,3074595191.72
2026-04-22,1415.0,1419.0,1404.98,1409.5,2691593,3793827534.34
2026-04-23,1408.0,1419.7,1405.1,1419.0,3770109,5332831150.92
2026-04-24,1413.1,1458.88,1413.1,1458.49,5545531,8003410999.07
2026-04-27,1420.0,1420.0,1402.2,1403.2,7279774,10239763452.3
2026-04-28,1402.0,1409.39,1400.11,1405.0,3400442,4772513712.16
2026-04-29,1405.0,1409.75,1400.28,1401.17,3481313,4881691348.25
2026-04-30,1400.0,1401.17,1380.0,1384.79,5275267,7316111748.09
2026-05-06,1365.1,1379.0,1360.05,1375.0,4780604,6550750939.85
2026-05-07,1375.0,1388.0,1370.01,1371.05,4046147,5573286314.86
2026-05-08,1371.66,1382.77,1370.0,1372.99,3336853,4582855939.26
2026-05-11,1372.89,1372.89,1361.0,1361.33,5713510,7790721392.36
2026-05-12,1362.0,1363.58,1350.5,1354.55,5083743,6886304981.88
2026-05-13,1354.5,1358.6,1338.0,1344.09,5696787,7653257144.39
2026-05-14,1338.0,1369.06,1335.18,1342.17,5524434,7428592859.47
2026-05-15,1335.15,1339.28,1327.11,1332.95,5818365,7749366540.01
2026-05-18,1336.0,1342.68,1319.61,1323.0,4966097,6594983723.16
2026-05-19,1321.9,1329.99,1318.0,1324.3,4325464,5719170335.47
2026-05-20,1321.0,1332.99,1314.0,1315.0,4748733,6271273747.82
2026-05-21,1312.98,1323.52,1311.0,1311.0,3886838,5112740390.89
2026-05-22,1310.95,1311.91,1290.12,1290.2,4915714,6372389481.7
2026-05-25,1287.0,1304.79,1277.0,1285.88,4635276,5978725158.26
2026-05-26,1285.35,1289.89,1270.01,1273.38,4593162,5867830633.19
2026-05-27,1268.02,1319.0,1250.1,1303.0,8272791,10586574902.2
2026-05-28,1290.0,1304.0,1271.0,1275.98,4588998,5895475019.48
2026-05-29,1270.6,1329.0,1270.0,1326.0,7647805,10037388211.15
2026-06-01,1327.0,1327.0,1301.31,1309.6,4384460,5741133268.45
2026-06-02,1306.0,1326.36,1301.0,1307.22,3636185,4769963103.81
2026-06-03,1304.0,1304.0,1276.0,1281.91,5247652,6743202681.32
2026-06-04,1278.99,1288.99,1266.69,1268.0,3350617,4273269325.49
2026-06-05,1278.0,1283.0,1267.74,1272.86,3130397,3984001862.34
2026-06-08,1272.0,1278.0,1260.0,1262.98,3082836,3898027116.3
2026-06-09,1262.99,1263.0,1252.55,1256.0,2786012,3500590714.75
2026-06-10,1252.08,1282.0,1250.21,1275.88,3924414,4991686419.32
2026-06-11,1272.12,1282.88,1266.91,1279.0,2535198,3230008219.71
2026-06-12,1271.18,1295.0,1265.01,1291.91,5049478,6477910214.33
2026-06-15,1292.7,1292.7,1270.1,1271.1,4158556,5303656129.29
2026-06-16,1267.01,1267.88,1255.0,1255.67,3496974,4399957625.46
2026-06-17,1258.0,1259.77,1238.56,1240.0,4480330,5581256291.12
2026-06-18,1235.0,1238.87,1211.22,1215.0,5747173,7016713941.4
2026-06-22,1214.31,1252.8,1205.0,1241.41,5825131,7163236298.37
2026-06-23,1239.0,1264.0,1217.0,1222.45,5800405,7179745910.82
