date,open,close,high,low,amount
2026-02-24,55.41,55.38,56.09,54.9,1075010.0
2026-02-25,55.81,57.39,57.58,55.7,1699412.0
2026-02-26,57.4,57.95,58.54,56.3,1627260.0
2026-02-27,56.3,55.7,56.44,55.1,1701812.0
2026-03-02,54.0,55.53,56.0,53.84,1184120.0
2026-03-03,55.84,54.88,57.8,54.88,1932188.0
2026-03-04,53.98,53.76,55.16,53.51,1075282.0
2026-03-05,54.79,55.1,56.26,54.33,1362380.0
2026-03-06,54.8,54.33,54.9,53.8,869298.0
2026-03-09,52.76,52.79,52.94,51.21,1694579.0
2026-03-10,53.63,54.36,54.38,53.4,1173851.0
2026-03-11,54.7,53.89,54.99,53.6,1220073.0
2026-03-12,53.9,52.54,54.78,52.22,1410061.0
2026-03-13,52.02,52.49,53.17,52.01,941798.0
2026-03-16,52.18,52.7,52.74,51.5,1010045.0
2026-03-17,52.99,50.9,53.18,50.87,1319376.0
2026-03-18,51.3,52.06,52.14,50.85,1174776.0
2026-03-19,51.0,50.46,51.29,50.2,1056018.0
2026-03-20,50.98,50.3,52.45,50.21,1544521.0
2026-03-23,48.95,47.6,49.09,47.35,1370951.0
2026-03-24,48.57,48.84,48.88,47.49,1107629.0
2026-03-25,49.39,50.31,51.0,49.02,1264703.0
2026-03-26,50.0,49.74,51.5,49.57,1072890.0
2026-03-27,48.63,49.53,49.9,48.4,784645.0
2026-03-30,48.46,49.27,49.29,48.33,662624.0
2026-03-31,49.0,51.46,52.85,48.53,2386740.0
2026-04-01,53.0,53.32,53.5,51.47,2154300.0
2026-04-02,52.66,52.0,54.45,51.75,1571751.0
2026-04-03,52.6,52.18,53.18,52.0,1045401.0
2026-04-07,52.98,52.58,54.0,52.0,1205864.0
2026-04-08,54.16,56.61,56.61,53.38,2517587.0
2026-04-09,55.0,55.02,55.81,54.8,1553887.0
2026-04-10,55.6,56.52,57.27,55.33,1909441.0
2026-04-13,56.0,55.7,56.55,55.4,1357149.0
2026-04-14,56.47,58.92,59.29,56.13,2549507.0
2026-04-15,59.36,57.82,59.97,57.2,1973741.0
2026-04-16,57.99,59.32,59.99,57.4,1805236.0
2026-04-17,59.6,60.97,61.2,58.98,1878179.0
2026-04-20,61.89,61.51,63.33,61.01,2131508.0
2026-04-21,60.97,61.41,61.5,59.87,1392037.0
2026-04-22,61.19,66.89,67.55,61.03,3160832.0
2026-04-23,66.98,67.92,69.1,66.66,2777453.0
2026-04-24,66.57,65.01,67.21,63.67,2646640.0
2026-04-27,66.01,67.25,68.0,65.38,2358367.0
2026-04-28,67.25,68.2,68.99,66.92,2371396.0
2026-04-29,67.77,66.26,67.77,64.0,2823039.0
2026-04-30,65.9,62.88,66.2,62.71,2924075.0
2026-05-06,63.28,63.08,63.88,61.74,2652838.0
2026-05-07,64.09,64.18,64.59,63.0,2103300.0
2026-05-08,63.0,63.28,64.2,62.77,1620171.0
2026-05-11,64.2,65.85,65.87,63.0,2724029.0
2026-05-12,65.87,64.4,65.9,63.23,2135259.0
2026-05-13,64.1,70.84,70.84,63.86,4073570.0
2026-05-14,74.0,68.6,74.0,67.28,4017452.0
2026-05-15,69.5,67.62,71.76,67.37,3425679.0
2026-05-18,65.88,68.98,70.23,64.95,2518482.0
2026-05-19,68.3,68.56,69.04,66.4,1914641.0
2026-05-20,68.2,68.15,68.49,66.5,2102607.0
2026-05-21,69.2,65.5,69.5,65.0,2096550.0
2026-05-22,66.11,67.16,67.66,64.5,1947455.0
2026-05-25,68.0,70.3,70.5,67.3,2659917.0
2026-05-26,69.86,69.98,70.8,68.0,2189253.0
2026-05-27,69.9,70.08,73.74,69.69,2892366.0
2026-05-28,70.0,75.0,76.28,68.89,3616913.0
2026-05-29,78.75,73.4,79.63,73.1,3593584.0
2026-06-01,75.2,73.75,76.5,72.19,3013251.0
2026-06-02,75.0,80.01,81.11,73.85,3778912.0
2026-06-03,79.95,81.05,84.95,78.43,3866136.0
2026-06-04,80.0,78.55,80.86,77.35,2805857.0
2026-06-05,77.5,74.06,78.21,73.1,2616486.0
2026-06-08,69.99,70.48,73.3,69.34,1973161.0
2026-06-09,71.99,74.74,74.88,70.88,2025786.0
2026-06-10,72.9,71.13,73.5,70.25,1464118.0
2026-06-11,69.82,69.52,71.55,68.2,1484767.0
2026-06-12,71.94,70.13,72.26,70.0,1465028.0
2026-06-15,71.47,73.4,73.4,70.48,1626218.0
2026-06-16,73.4,72.9,74.99,72.5,1741995.0
2026-06-17,71.7,72.64,72.83,71.0,1654286.0
2026-06-18,72.0,78.08,79.9,71.95,4249682.0
2026-06-22,78.08,78.88,79.41,75.8,2989520.0
2026-06-23,78.88,74.1,78.89,73.7,2416537.0
