date,open,close,high,low,amount
2026-02-24,80.38,78.91,81.0,78.0,539328.0
2026-02-25,78.98,79.52,81.5,78.55,494159.0
2026-02-26,79.7,85.89,87.47,79.7,1084089.0
2026-02-27,84.05,85.55,88.31,84.0,792610.0
2026-03-02,84.0,91.03,91.91,84.0,885929.0
2026-03-03,95.57,94.88,98.69,92.6,1169033.0
2026-03-04,91.0,95.0,96.5,91.0,703854.0
2026-03-05,97.85,92.7,97.99,92.0,779276.0
2026-03-06,90.06,95.45,98.5,87.97,901125.0
2026-03-09,90.3,98.24,98.5,87.19,904426.0
2026-03-10,102.0,108.06,108.06,101.2,913332.0
2026-03-11,109.33,104.8,111.65,103.71,913691.0
2026-03-12,106.09,109.3,109.3,101.2,791965.0
2026-03-13,111.1,110.93,118.98,110.11,1038026.0
2026-03-16,112.71,119.0,120.5,111.0,872649.0
2026-03-17,117.0,109.71,117.16,108.89,972445.0
2026-03-18,111.93,107.38,113.88,101.83,1372626.0
2026-03-19,104.0,111.72,114.11,104.0,827166.0
2026-03-20,117.06,116.06,119.55,114.03,928616.0
2026-03-23,110.27,105.23,113.9,104.9,833379.0
2026-03-24,108.3,107.52,108.35,101.74,683509.0
2026-03-25,113.9,108.21,115.01,107.75,812183.0
2026-03-26,107.29,104.3,109.32,103.8,657304.0
2026-03-27,100.0,102.65,103.95,98.83,635680.0
2026-03-30,100.81,105.0,106.8,100.76,518951.0
2026-03-31,102.9,103.3,107.0,100.57,566630.0
2026-04-01,107.5,109.0,109.5,104.52,701607.0
2026-04-02,107.05,106.25,109.8,104.8,442869.0
2026-04-03,108.59,110.55,115.28,108.0,621609.0
2026-04-07,110.56,109.01,112.0,106.85,455762.0
2026-04-08,119.91,119.91,119.91,119.9,232239.0
2026-04-09,128.0,131.9,131.9,126.11,936590.0
2026-04-10,132.3,143.55,145.09,132.27,1449445.0
2026-04-13,143.61,146.83,149.68,143.61,1086159.0
2026-04-14,147.0,146.0,149.01,143.51,876028.0
2026-04-15,145.7,145.8,151.0,143.6,813388.0
2026-04-16,145.12,149.55,149.55,144.12,806609.0
2026-04-17,155.0,162.1,164.45,152.16,1195419.0
2026-04-20,162.08,157.0,168.2,155.7,1084234.0
2026-04-21,157.19,169.4,172.68,156.01,964689.0
2026-04-22,172.06,186.34,186.34,171.2,832377.0
2026-04-23,192.0,186.66,194.0,183.98,1131449.0
2026-04-24,193.5,187.9,196.0,179.01,1179788.0
2026-04-27,188.0,186.7,190.55,178.86,907451.0
2026-04-28,187.0,183.9,190.2,181.01,789533.0
2026-04-29,180.61,184.25,189.12,176.88,908411.0
2026-04-30,189.78,186.73,191.95,181.83,820417.0
2026-05-06,191.8,191.88,199.07,187.0,1019926.0
2026-05-07,188.43,211.07,211.07,185.8,866708.0
2026-05-08,210.0,211.39,213.58,206.01,895393.0
2026-05-11,212.0,218.3,222.6,208.47,894415.0
2026-05-12,223.57,219.46,230.0,213.51,914307.0
2026-05-13,213.0,220.75,225.66,212.9,787040.0
2026-05-14,220.74,214.89,226.0,213.35,762371.0
2026-05-15,212.86,203.35,215.63,196.12,1019791.0
2026-05-18,203.35,211.25,215.6,199.94,783883.0
2026-05-19,206.0,222.08,224.5,198.0,1100759.0
2026-05-20,220.1,223.0,225.57,216.05,782079.0
2026-05-21,223.23,206.97,225.0,204.16,899478.0
2026-05-22,210.92,220.55,221.73,210.92,843617.0
2026-05-25,222.91,226.24,228.28,218.3,831651.0
2026-05-26,221.0,221.2,225.11,216.36,677237.0
2026-05-27,216.78,223.37,234.0,212.6,869030.0
2026-05-28,222.0,219.0,223.0,212.4,776935.0
2026-05-29,222.93,213.05,229.95,210.7,756485.0
2026-06-01,209.22,191.75,212.0,191.75,1359590.0
2026-06-02,200.0,210.93,210.93,196.9,1081481.0
2026-06-03,219.6,223.99,232.02,219.0,1175069.0
2026-06-04,222.11,237.8,244.7,222.11,835019.0
2026-06-05,232.08,221.41,241.8,219.05,844741.0
2026-06-08,210.0,213.0,220.5,209.0,705983.0
2026-06-09,216.82,224.4,225.6,213.36,717055.0
2026-06-10,216.59,212.27,227.98,210.83,685924.0
2026-06-11,215.0,210.99,221.68,205.01,654865.0
2026-06-12,220.5,217.55,226.8,214.0,795949.0
2026-06-15,222.47,239.31,239.31,215.39,853771.0
2026-06-16,244.0,249.06,253.1,235.88,1025167.0
2026-06-17,255.12,256.92,266.03,251.0,976383.0
2026-06-18,256.92,273.0,277.6,255.15,795976.0
2026-06-22,273.05,270.55,275.42,260.0,904511.0
2026-06-23,265.01,255.02,266.99,253.0,721028.0
