date,open,high,low,close,volume,amount
2026-02-24,10.93,10.95,10.88,10.91,60251240,657487700.23
2026-02-25,10.91,10.95,10.78,10.86,106313487,1156693737.43
2026-02-26,10.86,10.91,10.8,10.87,71273019,772947726.7
2026-02-27,10.86,10.92,10.84,10.9,61222796,666177345.8
2026-03-02,10.85,10.89,10.77,10.85,83887355,908747811.55
2026-03-03,10.85,10.95,10.8,10.88,102869483,1119402076.0
2026-03-04,10.84,10.84,10.67,10.71,108971396,1167995855.73
2026-03-05,10.72,10.84,10.7,10.81,71264118,768553597.53
2026-03-06,10.78,10.84,10.77,10.82,47657680,514733549.73
2026-03-09,10.79,10.82,10.74,10.76,83589238,900716851.39
2026-03-10,10.77,10.81,10.73,10.81,79011168,850573535.93
2026-03-11,10.79,10.9,10.77,10.89,72053464,781041008.86
2026-03-12,10.87,10.96,10.85,10.94,75490558,824171953.5
2026-03-13,10.93,11.0,10.87,10.93,84193915,920839355.51
2026-03-16,10.93,10.97,10.88,10.92,71560301,782089440.63
2026-03-17,10.91,11.07,10.9,11.03,107665681,1187565491.59
2026-03-18,11.04,11.04,10.91,10.96,79107940,867711250.46
2026-03-19,10.92,10.97,10.86,10.88,62421195,681086518.72
2026-03-20,10.87,10.94,10.76,10.77,83408256,903819004.16
2026-03-23,10.68,10.68,10.43,10.45,158008833,1666328347.8
2026-03-24,10.52,10.89,10.52,10.88,162225127,1744746707.7
2026-03-25,10.89,10.95,10.79,10.94,74477991,809739890.44
2026-03-26,10.91,11.05,10.9,10.94,82766409,909199430.74
2026-03-27,10.91,11.05,10.83,11.02,88412862,972821270.14
2026-03-30,10.98,11.05,10.94,10.99,63252210,696208267.35
2026-03-31,11.0,11.18,10.99,11.08,116456534,1294675716.15
2026-04-01,11.09,11.23,11.08,11.15,91892539,1025538832.67
2026-04-02,11.15,11.32,11.13,11.27,114889522,1292756711.67
2026-04-03,11.28,11.28,11.09,11.12,75775733,845283641.29
2026-04-07,11.12,11.14,10.97,11.03,60795521,671322754.77
2026-04-08,11.11,11.22,11.05,11.22,81297589,906308305.45
2026-04-09,11.17,11.22,11.06,11.1,60236493,669239285.37
2026-04-10,11.1,11.13,11.07,11.09,48104693,534088990.51
2026-04-13,11.05,11.09,11.03,11.07,40610413,449056813.73
2026-04-14,11.07,11.17,11.07,11.17,49615109,551741632.58
2026-04-15,11.16,11.22,11.15,11.21,50393793,564031568.33
2026-04-16,11.2,11.23,11.07,11.09,68091460,758006903.42
2026-04-17,11.09,11.11,10.99,11.01,72253042,797678405.53
2026-04-20,11.01,11.07,10.96,11.06,63003366,695097193.51
2026-04-21,11.04,11.16,11.03,11.08,80694634,896659539.18
2026-04-22,11.08,11.09,10.95,10.98,83905399,923203009.35
2026-04-23,10.98,11.03,10.93,11.0,64806661,711757543.31
2026-04-24,10.98,11.03,10.92,11.0,58271012,639781173.32
2026-04-27,11.33,11.57,11.29,11.38,340127567,3891707615.21
2026-04-28,11.36,11.46,11.32,11.46,167425883,1908333958.72
2026-04-29,11.43,11.54,11.39,11.52,137842344,1583294868.98
2026-04-30,11.5,11.6,11.46,11.49,113924162,1312827775.76
2026-05-06,11.5,11.5,11.3,11.36,121638755,1380730921.13
2026-05-07,11.37,11.39,11.3,11.37,93695806,1062755238.5
2026-05-08,11.34,11.42,11.3,11.3,79881986,905737835.21
2026-05-11,11.29,11.31,11.16,11.28,93186521,1047435369.38
2026-05-12,11.28,11.36,11.21,11.25,102903842,1158241865.91
2026-05-13,11.25,11.28,11.11,11.14,101797392,1136724107.4
2026-05-14,11.14,11.15,11.05,11.05,79436841,881960631.2
2026-05-15,11.05,11.11,10.96,10.99,97474176,1074648532.65
2026-05-18,10.96,10.97,10.82,10.86,85638157,931697164.0
2026-05-19,10.83,10.92,10.83,10.86,79352913,862561883.36
2026-05-20,10.86,10.88,10.76,10.77,74763214,808079588.87
2026-05-21,10.78,10.8,10.69,10.7,111021108,1194144111.5
2026-05-22,10.7,10.73,10.65,10.68,95413273,1020057083.13
2026-05-25,10.68,10.76,10.64,10.68,66310295,709614127.77
2026-05-26,10.71,10.83,10.66,10.79,83734690,900879538.05
2026-05-27,10.76,10.85,10.72,10.76,83972718,905710898.28
2026-05-28,10.76,10.79,10.63,10.66,90071107,963695781.21
2026-05-29,10.65,10.93,10.62,10.93,139936780,1515692068.28
2026-06-01,10.9,10.99,10.81,10.99,95459569,1042306455.86
2026-06-02,10.98,11.1,10.94,11.08,88542842,978159336.86
2026-06-03,11.03,11.06,10.92,10.99,82527172,906870268.35
2026-06-04,10.91,10.97,10.77,10.82,86927083,943329311.39
2026-06-05,10.83,11.03,10.83,10.98,100350334,1102446143.34
2026-06-08,10.97,11.1,10.96,11.03,109092646,1203946343.4
2026-06-09,11.01,11.19,10.96,11.13,114967234,1277122415.79
2026-06-10,11.07,11.35,11.07,11.32,154317639,1738056712.03
2026-06-11,11.32,11.39,11.25,11.3,115622222,1308133972.13
2026-06-12,11.0,11.25,10.88,11.24,203235546,2263042930.57
2026-06-15,11.21,11.21,10.98,11.06,154130495,1711561286.57
2026-06-16,11.05,11.12,10.91,10.94,94270804,1034554249.38
2026-06-17,10.97,10.99,10.75,10.78,96582803,1046564895.54
2026-06-18,10.74,10.77,10.52,10.52,142689316,1511009564.95
2026-06-22,10.52,10.67,10.42,10.65,126531672,1334768052.78
2026-06-23,10.65,10.91,10.63,10.71,119060407,1285360400.38
