date,open,close,high,low,amount
2026-02-24,64.75,66.83,67.58,64.31,470337.0
2026-02-25,67.1,68.4,68.88,66.25,430257.0
2026-02-26,68.51,72.2,73.7,67.03,747639.0
2026-02-27,69.7,68.31,71.2,68.1,504400.0
2026-03-02,66.22,67.65,68.38,66.22,386328.0
2026-03-03,70.6,66.84,71.8,66.7,656592.0
2026-03-04,65.83,65.07,67.36,64.3,432008.0
2026-03-05,66.55,65.18,68.43,64.38,506862.0
2026-03-06,64.7,63.2,65.19,62.48,394547.0
2026-03-09,60.58,60.12,60.92,57.27,561772.0
2026-03-10,61.6,63.61,63.69,61.56,541019.0
2026-03-11,64.2,62.7,65.02,62.35,409653.0
2026-03-12,62.26,61.96,65.06,60.98,384607.0
2026-03-13,60.99,62.64,63.88,60.97,443421.0
2026-03-16,62.95,63.59,64.11,60.93,467635.0
2026-03-17,65.1,61.08,65.57,61.0,481357.0
2026-03-18,61.43,62.7,63.48,60.92,441083.0
2026-03-19,61.2,59.8,61.56,59.5,415929.0
2026-03-20,60.2,59.42,62.4,59.4,527576.0
2026-03-23,57.6,55.05,58.02,54.59,613817.0
2026-03-24,56.0,56.08,56.19,54.26,407959.0
2026-03-25,56.85,57.0,58.0,56.2,417208.0
2026-03-26,57.08,54.61,57.19,54.4,475627.0
2026-03-27,53.86,53.95,54.86,52.78,373639.0
2026-03-30,52.65,54.3,54.53,52.21,309474.0
2026-03-31,53.8,53.37,54.8,52.61,323524.0
2026-04-01,54.75,54.3,55.18,53.75,331705.0
2026-04-02,53.34,50.83,53.69,50.4,626013.0
2026-04-03,51.24,51.7,52.5,51.23,394179.0
2026-04-07,52.56,54.4,55.19,52.2,594489.0
2026-04-08,56.2,58.18,58.31,55.88,686975.0
2026-04-09,57.01,58.4,58.95,56.73,419173.0
2026-04-10,59.34,60.41,61.46,58.4,602890.0
2026-04-13,59.56,62.67,63.7,59.48,668701.0
2026-04-14,63.7,66.02,66.86,62.48,799660.0
2026-04-15,67.7,66.1,70.2,65.74,930830.0
2026-04-16,66.52,66.76,67.34,65.21,530250.0
2026-04-17,66.25,68.45,69.57,65.9,568740.0
2026-04-20,68.48,69.0,70.69,67.94,564127.0
2026-04-21,68.71,71.75,73.2,68.27,735391.0
2026-04-22,71.74,75.2,75.64,71.2,678667.0
2026-04-23,75.21,74.15,77.7,72.71,725714.0
2026-04-24,73.4,71.83,74.9,70.75,574448.0
2026-04-27,73.2,75.87,76.83,73.2,557872.0
2026-04-28,76.54,75.82,77.3,73.29,625638.0
2026-04-29,75.86,77.2,80.07,75.18,736410.0
2026-04-30,78.2,75.71,79.65,75.52,468913.0
2026-05-06,78.0,80.01,81.97,78.0,603167.0
2026-05-07,81.62,81.2,82.2,79.2,451021.0
2026-05-08,79.73,81.2,83.35,79.3,380322.0
2026-05-11,81.82,82.86,83.48,80.2,480487.0
2026-05-12,82.9,84.82,85.53,81.7,508736.0
2026-05-13,84.22,93.38,93.38,84.22,715910.0
2026-05-14,97.31,92.52,99.7,92.3,934590.0
2026-05-15,92.58,89.15,93.04,86.85,598251.0
2026-05-18,89.43,98.15,98.15,89.43,753260.0
2026-05-19,97.05,99.98,101.07,93.22,811490.0
2026-05-20,98.71,99.76,101.57,97.17,520464.0
2026-05-21,101.35,97.39,106.7,96.86,726707.0
2026-05-22,101.3,107.21,107.21,101.2,668899.0
2026-05-25,113.2,115.72,117.01,109.55,794411.0
2026-05-26,114.88,127.37,127.37,114.8,781785.0
2026-05-27,132.2,130.96,139.2,128.19,1102999.0
2026-05-28,131.97,134.84,136.9,124.71,1026694.0
2026-05-29,134.84,139.82,144.75,133.08,1008405.0
2026-06-01,139.82,134.83,147.1,131.5,1155189.0
2026-06-02,132.41,140.27,143.53,127.87,1083318.0
2026-06-03,137.0,140.29,146.69,134.22,1097300.0
2026-06-04,136.2,143.16,147.0,134.31,850144.0
2026-06-05,140.0,137.36,145.16,136.38,726278.0
2026-06-08,126.0,134.06,140.36,126.0,757561.0
2026-06-09,138.99,147.47,147.47,136.86,692989.0
2026-06-10,147.0,146.9,154.5,144.64,959194.0
2026-06-11,146.95,149.73,153.5,143.11,840041.0
2026-06-12,155.98,151.28,162.62,150.11,963705.0
2026-06-15,159.11,166.41,166.41,153.55,540346.0
2026-06-16,176.0,179.4,183.05,174.8,918984.0
2026-06-17,180.0,180.15,191.0,176.0,1155608.0
2026-06-18,178.5,183.87,187.35,176.73,798770.0
2026-06-22,186.6,184.5,191.88,177.54,945294.0
2026-06-23,179.0,167.87,180.0,166.53,998238.0
