date,open,close,high,low,amount
2026-02-24,761.58,718.15,765.44,717.25,8187709.0
2026-02-25,723.82,725.6,743.29,719.8,5760623.0
2026-02-26,733.99,783.42,796.9,716.27,14083847.0
2026-02-27,767.46,789.6,812.5,764.99,12151165.0
2026-03-02,770.81,798.93,810.1,766.15,8821975.0
2026-03-03,802.35,759.43,803.61,757.38,7537116.0
2026-03-04,752.01,748.71,776.18,743.96,5898695.0
2026-03-05,769.92,782.89,801.69,752.03,8539945.0
2026-03-06,777.52,774.08,786.47,769.5,4523467.0
2026-03-09,750.67,754.69,759.9,732.54,6025840.0
2026-03-10,770.12,768.86,777.52,760.75,5020293.0
2026-03-11,774.16,736.58,776.85,732.79,7621059.0
2026-03-12,736.58,736.58,751.48,722.39,6262527.0
2026-03-13,744.7,734.63,755.4,727.16,9290621.0
2026-03-16,729.23,730.52,732.62,701.65,6695672.0
2026-03-17,730.45,723.82,750.66,717.79,5532089.0
2026-03-18,726.0,714.43,729.19,702.46,6839317.0
2026-03-19,700.34,694.98,705.56,691.73,4885275.0
2026-03-20,696.44,686.91,714.19,670.81,10195162.0
2026-03-23,671.81,650.87,683.89,648.66,8151520.0
2026-03-24,660.07,689.26,695.5,650.01,9059606.0
2026-03-25,690.27,696.31,711.68,685.54,8971388.0
2026-03-26,696.98,686.85,716.23,682.34,4994724.0
2026-03-27,673.49,686.24,695.67,673.49,5042257.0
2026-03-30,673.2,676.48,680.2,666.74,5226918.0
2026-03-31,670.85,658.72,683.54,658.72,5075376.0
2026-04-01,675.5,704.63,713.09,675.5,10000913.0
2026-04-02,700.34,669.46,706.01,668.03,7091466.0
2026-04-03,676.85,687.38,696.98,669.46,6224472.0
2026-04-07,685.57,750.0,768.12,684.23,14082900.0
2026-04-08,776.91,780.2,783.54,762.75,10483254.0
2026-04-09,777.52,803.02,819.28,771.48,9750872.0
2026-04-10,807.72,811.54,819.28,796.91,9003652.0
2026-04-13,805.71,817.53,839.66,805.65,7879142.0
2026-04-14,821.13,832.54,837.11,808.45,7703170.0
2026-04-15,832.55,854.03,889.74,830.59,12429888.0
2026-04-16,858.05,876.17,881.54,852.7,7796484.0
2026-04-17,871.39,894.3,904.68,864.77,7210520.0
2026-04-20,898.99,923.96,923.96,889.03,7519583.0
2026-04-21,912.42,891.61,917.19,876.85,8179094.0
2026-04-22,883.55,896.31,898.31,876.9,6808209.0
2026-04-23,895.61,886.91,911.69,868.79,7718789.0
2026-04-24,884.66,906.71,945.02,859.11,12407144.0
2026-04-27,905.07,909.54,929.19,899.18,7093204.0
2026-04-28,907.57,921.48,951.26,907.57,7453538.0
2026-04-29,915.77,949.75,952.01,902.93,9086007.0
2026-04-30,988.93,1139.91,1139.91,988.93,17884265.0
2026-05-06,1196.83,1223.83,1318.46,1187.58,19780525.0
2026-05-07,1223.79,1252.68,1264.45,1202.21,10998270.0
2026-05-08,1217.03,1182.53,1220.0,1158.01,19102442.0
2026-05-11,1201.0,1200.0,1205.99,1158.03,23172174.0
2026-05-12,1199.99,1277.87,1293.33,1189.81,20958058.0
2026-05-13,1239.0,1316.88,1316.88,1236.0,15877771.0
2026-05-14,1320.0,1260.58,1350.0,1232.32,18113864.0
2026-05-15,1234.88,1209.0,1276.89,1195.88,16174997.0
2026-05-18,1200.0,1216.99,1260.0,1183.04,12505636.0
2026-05-19,1216.89,1319.2,1326.0,1175.0,18635194.0
2026-05-20,1300.0,1362.41,1396.0,1291.99,18374265.0
2026-05-21,1370.04,1290.9,1386.0,1285.0,15339509.0
2026-05-22,1300.5,1286.0,1319.99,1270.43,11223994.0
2026-05-25,1321.01,1406.5,1435.0,1321.01,17338398.0
2026-05-26,1383.01,1410.96,1448.01,1375.0,15397469.0
2026-05-27,1385.0,1340.0,1412.99,1334.0,13802949.0
2026-05-28,1361.0,1391.5,1404.99,1349.01,12671712.0
2026-05-29,1400.0,1310.0,1414.0,1295.0,14502989.0
2026-06-01,1326.0,1238.0,1326.0,1238.0,13489609.0
2026-06-02,1246.0,1300.0,1319.58,1245.0,12433895.0
2026-06-03,1292.3,1378.1,1428.01,1291.0,16559805.0
2026-06-04,1365.0,1358.9,1400.0,1347.0,8841560.0
2026-06-05,1342.0,1299.2,1407.77,1287.34,11635451.0
2026-06-08,1239.3,1250.36,1298.88,1230.08,11417055.0
2026-06-09,1279.0,1270.01,1285.8,1239.02,10673185.0
2026-06-10,1300.0,1231.0,1349.9,1224.17,13832746.0
2026-06-11,1221.96,1219.5,1255.0,1199.0,11181993.0
2026-06-12,1258.0,1240.0,1260.0,1202.0,14976597.0
2026-06-15,1253.0,1335.0,1345.99,1238.88,15437304.0
2026-06-16,1335.5,1306.99,1335.91,1297.79,9967179.0
2026-06-17,1290.4,1320.0,1329.87,1271.1,13322575.0
2026-06-18,1319.72,1507.46,1540.0,1313.2,22169416.0
2026-06-22,1480.0,1456.99,1494.94,1420.0,15035673.0
2026-06-23,1453.0,1413.0,1506.0,1394.84,13837563.0
