date,open,close,high,low,amount
2026-02-24,46.8,46.64,47.32,45.95,551007.0
2026-02-25,47.35,46.82,47.53,45.3,838468.0
2026-02-26,46.8,48.62,49.88,46.5,1009398.0
2026-02-27,47.66,48.06,48.14,46.21,817547.0
2026-03-02,46.68,46.67,47.58,46.6,636264.0
2026-03-03,47.2,47.47,49.79,46.84,1557580.0
2026-03-04,45.81,47.76,49.35,45.81,995265.0
2026-03-05,49.2,48.6,50.23,48.12,1147240.0
2026-03-06,48.0,46.94,48.99,46.76,920253.0
2026-03-09,45.53,44.9,45.53,42.6,1075819.0
2026-03-10,45.9,45.9,46.5,45.25,713216.0
2026-03-11,46.36,46.71,48.16,46.23,917879.0
2026-03-12,46.5,45.63,47.58,45.34,653574.0
2026-03-13,45.17,45.38,46.7,44.69,543064.0
2026-03-16,45.21,45.65,46.36,44.05,705271.0
2026-03-17,45.93,43.65,45.94,43.59,621114.0
2026-03-18,44.15,45.67,46.07,43.83,791233.0
2026-03-19,44.69,44.09,45.07,43.9,531942.0
2026-03-20,44.56,41.93,44.65,41.9,772824.0
2026-03-23,40.38,38.98,41.08,38.57,757104.0
2026-03-24,39.8,39.35,39.87,38.29,461181.0
2026-03-25,39.8,40.54,41.16,39.77,533289.0
2026-03-26,40.3,39.33,40.66,39.14,377749.0
2026-03-27,38.75,39.43,39.84,38.5,367940.0
2026-03-30,38.56,39.74,39.87,38.35,338891.0
2026-03-31,39.4,38.65,39.5,38.45,404005.0
2026-04-01,39.78,39.39,39.79,39.14,367070.0
2026-04-02,39.43,38.38,39.43,38.18,328915.0
2026-04-03,38.78,38.19,38.88,37.92,261706.0
2026-04-07,38.6,38.72,38.96,38.44,273821.0
2026-04-08,39.95,41.88,41.88,39.93,713712.0
2026-04-09,41.07,41.81,42.37,40.95,497533.0
2026-04-10,42.64,42.92,43.69,42.64,667669.0
2026-04-13,42.4,42.75,43.4,42.4,443211.0
2026-04-14,43.5,44.24,44.98,43.2,825500.0
2026-04-15,44.4,43.49,44.6,43.26,680666.0
2026-04-16,43.5,43.63,43.92,43.1,442433.0
2026-04-17,43.58,43.88,44.5,43.15,613942.0
2026-04-20,43.9,44.39,44.9,43.39,611808.0
2026-04-21,44.4,43.93,44.5,43.03,465116.0
2026-04-22,43.74,45.41,45.58,43.67,768614.0
2026-04-23,45.46,44.31,45.68,43.94,663156.0
2026-04-24,44.72,44.79,45.77,44.41,700289.0
2026-04-27,45.9,46.22,46.85,45.45,1021313.0
2026-04-28,46.0,45.0,46.39,44.66,804400.0
2026-04-29,44.1,44.26,44.53,42.99,862876.0
2026-04-30,44.55,45.46,45.76,44.01,1014030.0
2026-05-06,47.76,48.1,49.08,47.75,1499983.0
2026-05-07,48.8,48.66,49.4,47.37,1321662.0
2026-05-08,47.9,50.65,51.49,47.0,1686549.0
2026-05-11,53.7,55.73,55.73,53.09,1629943.0
2026-05-12,56.66,55.14,56.89,54.5,2243986.0
2026-05-13,53.41,57.39,57.87,53.1,2182123.0
2026-05-14,57.69,54.21,57.69,54.18,1744515.0
2026-05-15,55.07,57.95,59.63,54.53,2510798.0
2026-05-18,57.37,58.23,61.86,56.91,2402943.0
2026-05-19,56.81,60.71,60.9,55.98,2319497.0
2026-05-20,59.68,66.12,66.79,59.67,2859682.0
2026-05-21,66.78,66.74,71.18,65.57,3125058.0
2026-05-22,66.95,72.78,73.04,63.85,2869279.0
2026-05-25,73.9,80.07,80.07,70.9,2751391.0
2026-05-26,82.9,88.09,88.09,81.05,3398367.0
2026-05-27,86.4,86.06,94.8,83.4,3513412.0
2026-05-28,82.91,84.64,87.4,80.9,2722646.0
2026-05-29,85.9,81.95,89.67,80.23,3103586.0
2026-06-01,80.0,75.55,83.41,74.9,2953365.0
2026-06-02,76.76,75.25,77.44,72.55,2532512.0
2026-06-03,76.13,80.03,82.79,76.13,3253501.0
2026-06-04,78.9,79.98,81.76,77.7,2270520.0
2026-06-05,79.56,75.55,80.32,74.98,2053712.0
2026-06-08,70.82,70.2,72.9,69.6,1681298.0
2026-06-09,72.88,75.19,75.55,71.3,1664743.0
2026-06-10,73.4,73.95,76.34,72.37,1502748.0
2026-06-11,72.5,71.85,74.16,70.9,1279991.0
2026-06-12,74.9,68.82,75.78,68.75,1863166.0
2026-06-15,70.2,74.22,74.37,67.85,1781531.0
2026-06-16,74.96,76.83,78.28,74.86,1917094.0
2026-06-17,75.9,81.66,82.73,75.9,2228067.0
2026-06-18,81.79,82.93,85.45,80.93,2340781.0
2026-06-22,85.78,91.23,91.23,85.5,2372194.0
2026-06-23,91.96,86.09,91.96,84.38,2221175.0
