date,open,close,high,low,amount
2026-02-24,168.97,173.79,177.78,167.0,27871949.0
2026-02-25,168.8,168.25,169.79,164.35,21404412.0
2026-02-26,168.49,166.81,169.69,163.99,23704952.0
2026-02-27,164.05,165.59,166.29,162.05,18439224.0
2026-03-02,159.89,160.29,165.36,159.79,19290563.0
2026-03-03,160.79,146.45,161.69,145.82,30892626.0
2026-03-04,175.78,175.78,175.78,168.68,37330464.0
2026-03-05,194.78,191.29,205.78,191.29,91031326.0
2026-03-06,190.39,209.12,209.41,190.39,55101645.0
2026-03-09,203.79,216.44,217.51,202.97,49266737.0
2026-03-10,219.79,213.54,220.11,209.28,39685368.0
2026-03-11,213.49,213.83,219.68,211.87,34330687.0
2026-03-12,214.11,202.64,216.28,200.09,37231605.0
2026-03-13,200.79,209.49,218.42,200.79,38011036.0
2026-03-16,211.79,237.49,238.21,211.19,52767977.0
2026-03-17,232.74,235.57,243.12,231.99,37629899.0
2026-03-18,244.3,257.88,259.78,240.79,47368380.0
2026-03-19,250.09,242.97,253.59,240.79,44136572.0
2026-03-20,247.65,238.67,247.79,232.89,38831649.0
2026-03-23,227.79,224.79,237.59,223.7,35816516.0
2026-03-24,228.29,231.29,231.57,212.76,44598719.0
2026-03-25,234.79,253.14,261.39,232.79,52822181.0
2026-03-26,240.48,238.77,246.45,236.67,40345807.0
2026-03-27,222.76,238.19,243.12,219.79,33765290.0
2026-03-30,231.0,231.78,240.37,228.67,30945901.0
2026-03-31,219.81,211.78,219.87,208.99,42365631.0
2026-04-01,227.79,215.39,232.67,210.46,44143747.0
2026-04-02,219.79,210.61,222.7,210.54,29636306.0
2026-04-03,213.39,210.08,217.34,209.99,21487927.0
2026-04-07,215.79,217.21,224.09,214.45,30058720.0
2026-04-08,228.79,229.47,230.79,219.84,37254052.0
2026-04-09,223.79,227.31,230.97,220.21,32437807.0
2026-04-10,233.77,241.3,247.79,232.91,42541563.0
2026-04-13,239.79,255.64,257.74,238.79,39717892.0
2026-04-14,265.78,287.89,294.01,261.8,52201819.0
2026-04-15,289.98,285.2,291.97,277.95,39833385.0
2026-04-16,272.79,286.59,291.59,271.78,44400802.0
2026-04-17,272.87,270.46,277.79,268.53,49745553.0
2026-04-20,270.89,268.49,275.64,266.45,32054740.0
2026-04-21,268.79,275.75,277.56,263.1,33703522.0
2026-04-22,274.44,280.79,280.79,272.67,28718029.0
2026-04-23,293.67,264.09,294.78,262.82,43954488.0
2026-04-24,261.79,266.29,268.29,259.69,29965604.0
2026-04-27,268.13,264.44,269.29,261.97,27524917.0
2026-04-28,267.59,260.59,274.43,260.44,28182833.0
2026-04-29,257.02,268.79,269.79,255.81,30215306.0
2026-04-30,269.79,264.87,269.8,263.29,25651813.0
2026-05-06,286.49,310.91,317.84,280.99,59632778.0
2026-05-07,304.79,299.64,310.82,295.04,49047567.0
2026-05-08,289.79,290.24,294.16,286.87,29769636.0
2026-05-11,310.89,315.48,323.29,301.0,52969111.0
2026-05-12,312.79,308.76,317.47,304.79,35878397.0
2026-05-13,297.79,328.28,329.69,295.42,47829148.0
2026-05-14,328.28,323.14,342.97,323.14,44952972.0
2026-05-15,322.99,306.09,328.19,300.89,44496700.0
2026-05-18,307.79,330.89,344.79,307.79,50470114.0
2026-05-19,321.8,313.22,323.79,300.8,44439874.0
2026-05-20,312.59,316.39,319.22,308.8,30965985.0
2026-05-21,324.59,300.79,327.78,298.34,36697067.0
2026-05-22,308.79,312.04,314.59,301.7,30129715.0
2026-05-25,311.79,320.56,322.58,303.15,36407198.0
2026-05-26,318.79,307.52,318.79,302.91,30114700.0
2026-05-27,322.79,316.78,342.27,314.96,53187408.0
2026-05-28,311.09,323.41,330.78,305.79,36819883.0
2026-05-29,325.79,327.16,339.67,312.79,41590000.0
2026-06-01,330.79,304.79,333.78,304.79,33896411.0
2026-06-02,304.79,303.19,311.61,287.2,34769891.0
2026-06-03,299.79,313.79,327.59,299.74,41282314.0
2026-06-04,311.8,341.1,349.79,308.79,58137146.0
2026-06-05,326.79,310.79,332.79,308.9,48186355.0
2026-06-08,284.79,288.29,295.37,284.79,32993711.0
2026-06-09,297.96,304.94,306.12,294.57,26463951.0
2026-06-10,310.79,316.79,331.69,307.79,39267999.0
2026-06-11,314.45,324.06,326.77,307.8,30296101.0
2026-06-12,348.67,327.69,358.65,327.69,53917677.0
2026-06-15,336.79,339.75,340.09,322.08,41764820.0
2026-06-16,340.0,340.48,346.98,334.71,33989517.0
2026-06-17,332.2,370.0,370.0,328.75,50471582.0
2026-06-18,363.0,386.2,392.2,363.0,46314381.0
2026-06-22,394.62,406.31,406.31,386.2,42959086.0
2026-06-23,400.0,389.47,419.97,386.0,38967798.0
