date,open,close,high,low,amount
2026-02-24,316.75,322.3,330.41,310.25,302545.0
2026-02-25,315.25,310.57,316.26,301.21,285728.0
2026-02-26,315.25,308.65,315.25,305.3,231053.0
2026-02-27,302.75,299.25,305.25,295.94,220969.0
2026-03-02,290.12,292.4,299.23,289.8,185132.0
2026-03-03,294.25,272.14,295.35,271.84,333294.0
2026-03-04,272.14,278.32,289.25,272.14,326916.0
2026-03-05,287.41,282.05,289.13,279.48,255300.0
2026-03-06,277.15,284.24,288.13,276.81,208576.0
2026-03-09,272.25,275.34,276.95,263.25,283546.0
2026-03-10,283.35,284.69,285.75,280.43,233537.0
2026-03-11,287.29,280.78,290.08,280.57,216499.0
2026-03-12,279.08,274.03,283.08,271.68,172327.0
2026-03-13,270.03,277.58,284.92,270.03,226137.0
2026-03-16,279.25,305.41,305.41,276.25,462736.0
2026-03-17,305.75,295.25,312.25,295.13,390001.0
2026-03-18,304.35,310.5,312.93,301.25,420514.0
2026-03-19,299.25,302.93,308.96,296.25,312146.0
2026-03-20,304.8,289.45,305.95,289.25,312536.0
2026-03-23,276.25,272.6,282.13,270.25,282142.0
2026-03-24,277.24,272.96,277.25,256.13,336915.0
2026-03-25,274.4,277.65,285.05,274.39,283763.0
2026-03-26,267.25,261.25,267.95,259.25,350773.0
2026-03-27,248.23,257.91,259.43,239.5,289773.0
2026-03-30,251.25,255.1,258.79,249.28,214696.0
2026-03-31,249.15,237.35,251.25,236.11,427623.0
2026-04-01,249.25,254.25,255.35,242.95,387958.0
2026-04-02,257.11,246.24,259.05,244.85,252974.0
2026-04-03,250.24,248.35,253.85,246.75,197472.0
2026-04-07,252.35,248.91,255.21,248.06,198472.0
2026-04-08,249.36,255.21,256.21,242.33,753325.0
2026-04-09,249.25,249.74,252.74,243.15,444683.0
2026-04-10,254.74,264.34,267.57,254.49,534767.0
2026-04-13,260.25,261.39,269.09,260.15,412421.0
2026-04-14,268.75,279.26,280.48,265.64,466205.0
2026-04-15,284.25,273.25,286.9,271.23,396973.0
2026-04-16,269.35,285.98,286.25,267.84,409337.0
2026-04-17,283.25,288.21,294.91,282.15,406321.0
2026-04-20,292.25,289.79,295.21,286.37,325643.0
2026-04-21,290.05,305.52,308.25,287.5,425834.0
2026-04-22,302.75,313.23,313.83,301.76,341662.0
2026-04-23,325.26,304.05,325.27,301.15,441997.0
2026-04-24,304.25,296.95,309.25,292.06,349105.0
2026-04-27,300.84,302.67,308.83,297.0,316355.0
2026-04-28,304.25,306.75,318.58,301.27,367943.0
2026-04-29,302.26,308.14,310.91,296.25,419200.0
2026-04-30,319.25,312.24,320.25,305.73,587965.0
2026-05-06,329.25,343.54,343.54,329.25,423426.0
2026-05-07,346.25,349.41,356.61,338.25,523879.0
2026-05-08,340.25,333.35,342.55,331.05,440833.0
2026-05-11,349.35,361.38,366.76,346.26,575079.0
2026-05-12,361.39,352.8,361.45,348.45,405596.0
2026-05-13,343.25,364.25,365.96,338.58,484983.0
2026-05-14,364.3,355.44,372.75,354.24,408365.0
2026-05-15,352.25,374.59,383.25,344.73,624368.0
2026-05-18,407.83,399.25,412.12,395.59,687984.0
2026-05-19,389.25,403.81,409.25,379.27,553101.0
2026-05-20,407.25,444.27,444.27,407.05,610126.0
2026-05-21,444.27,431.15,464.08,426.58,632398.0
2026-05-22,447.25,467.99,472.24,438.25,637969.0
2026-05-25,477.36,514.85,514.86,460.25,593614.0
2026-05-26,510.0,526.22,538.02,491.2,643384.0
2026-05-27,541.0,514.18,552.82,500.0,667260.0
2026-05-28,495.0,483.0,499.5,470.0,623792.0
2026-05-29,492.66,467.01,496.0,464.91,558125.0
2026-06-01,476.0,468.0,489.96,455.0,521586.0
2026-06-02,471.0,474.69,480.66,448.11,490193.0
2026-06-03,478.89,492.23,510.0,477.0,581930.0
2026-06-04,487.05,529.31,538.0,485.01,563351.0
2026-06-05,507.0,488.0,519.8,484.9,547135.0
2026-06-08,461.11,474.01,490.7,451.0,434475.0
2026-06-09,493.0,500.5,502.88,477.03,419683.0
2026-06-10,489.11,480.84,497.26,475.65,329972.0
2026-06-11,480.52,483.5,486.0,471.0,296991.0
2026-06-12,508.0,481.47,510.0,481.0,407085.0
2026-06-15,494.97,518.0,519.0,476.66,475784.0
2026-06-16,526.0,532.76,542.84,517.71,427785.0
2026-06-17,521.0,586.04,586.04,521.0,568000.0
2026-06-18,594.0,629.0,644.64,586.6,591573.0
2026-06-22,643.0,689.7,689.7,635.0,525831.0
2026-06-23,680.0,640.99,688.8,636.0,592914.0
