date,open,close,high,low,amount
2026-02-24,36.89,36.68,37.45,36.3,473395.0
2026-02-25,40.3,40.35,40.35,39.26,365170.0
2026-02-26,44.38,44.39,44.39,43.0,397813.0
2026-02-27,44.66,48.26,48.83,44.4,1679959.0
2026-03-02,48.26,45.68,48.36,43.91,1395426.0
2026-03-03,47.81,43.9,48.83,43.41,1272086.0
2026-03-04,42.63,44.45,46.25,41.74,826724.0
2026-03-05,45.3,44.19,45.88,43.61,673168.0
2026-03-06,44.43,43.19,44.96,42.9,453404.0
2026-03-09,41.46,42.72,43.0,39.41,548960.0
2026-03-10,43.46,44.62,45.2,42.51,516097.0
2026-03-11,46.3,46.0,49.0,45.5,844795.0
2026-03-12,46.01,45.17,47.3,44.05,520589.0
2026-03-13,44.78,43.36,46.3,43.15,459826.0
2026-03-16,43.77,42.95,44.97,41.68,465932.0
2026-03-17,42.8,40.14,42.85,40.0,431846.0
2026-03-18,40.11,40.75,41.36,39.84,288816.0
2026-03-19,39.99,39.51,40.73,38.86,345324.0
2026-03-20,43.45,43.46,43.46,43.45,193417.0
2026-03-23,43.0,40.6,44.5,40.06,821138.0
2026-03-24,43.7,44.66,44.66,41.21,837439.0
2026-03-25,48.0,48.43,49.13,46.81,1281353.0
2026-03-26,48.2,46.69,48.64,46.09,764850.0
2026-03-27,44.88,51.36,51.36,44.88,795091.0
2026-03-30,51.36,52.35,54.3,50.2,1072667.0
2026-03-31,52.0,48.91,52.8,48.01,923067.0
2026-04-01,51.21,49.9,51.51,48.11,751465.0
2026-04-02,48.01,47.5,49.61,46.11,698628.0
2026-04-03,49.06,51.71,52.25,49.06,1086970.0
2026-04-07,51.91,52.76,54.75,51.08,883665.0
2026-04-08,54.0,54.25,55.03,52.03,1067489.0
2026-04-09,53.8,55.59,56.7,53.35,925942.0
2026-04-10,58.29,56.79,59.5,53.65,1192132.0
2026-04-13,57.11,55.13,57.39,54.16,811038.0
2026-04-14,56.0,58.88,60.64,54.56,1165598.0
2026-04-15,59.71,57.15,59.85,56.7,793630.0
2026-04-16,56.27,56.36,57.4,55.51,646704.0
2026-04-17,60.53,62.0,62.0,59.07,1005293.0
2026-04-20,63.86,68.2,68.2,63.68,1157818.0
2026-04-21,68.32,68.4,70.48,66.74,1180937.0
2026-04-22,68.53,75.24,75.24,68.53,714571.0
2026-04-23,76.29,76.88,82.76,74.7,1667523.0
2026-04-24,76.07,77.12,81.3,73.4,1371497.0
2026-04-27,76.93,72.8,77.95,72.52,1169710.0
2026-04-28,72.6,69.68,73.0,68.89,882710.0
2026-04-29,68.61,69.22,70.33,68.12,737225.0
2026-04-30,68.72,70.01,72.12,68.72,1031240.0
2026-05-06,75.0,77.01,77.01,73.43,1206247.0
2026-05-07,77.01,80.2,81.49,75.21,1056903.0
2026-05-08,79.77,86.07,88.22,79.5,1129068.0
2026-05-11,88.5,92.2,92.28,86.6,1109828.0
2026-05-12,91.28,101.42,101.42,88.99,1127451.0
2026-05-13,100.0,101.51,105.1,97.1,1078579.0
2026-05-14,100.0,97.2,105.17,97.0,1001161.0
2026-05-15,96.02,90.33,97.28,88.86,1186091.0
2026-05-18,90.0,91.44,96.1,89.99,874666.0
2026-05-19,90.16,90.59,90.85,85.33,793117.0
2026-05-20,89.69,91.0,95.55,88.74,1029894.0
2026-05-21,92.54,83.8,92.54,83.35,958975.0
2026-05-22,86.11,87.1,87.95,84.22,825636.0
2026-05-25,90.52,89.4,91.94,88.04,783303.0
2026-05-26,89.0,83.1,89.4,81.58,858242.0
2026-05-27,81.85,81.68,85.77,80.13,819809.0
2026-05-28,81.01,89.85,89.85,79.45,903080.0
2026-05-29,95.1,91.18,97.0,89.05,1274878.0
2026-06-01,87.27,82.06,88.88,82.06,948090.0
2026-06-02,81.74,86.37,88.14,78.25,1077313.0
2026-06-03,87.56,88.99,92.81,86.5,1080145.0
2026-06-04,85.0,88.61,89.66,84.28,687087.0
2026-06-05,87.04,85.5,92.49,85.2,818614.0
2026-06-08,78.0,78.64,84.5,78.0,707055.0
2026-06-09,81.0,84.67,85.25,78.8,673082.0
2026-06-10,81.69,80.22,83.2,79.08,572234.0
2026-06-11,81.6,88.24,88.24,81.05,1305523.0
2026-06-12,89.5,92.26,93.39,87.0,1305378.0
2026-06-15,95.0,101.49,101.49,93.0,982061.0
2026-06-16,103.33,101.2,108.66,100.0,1446213.0
2026-06-17,97.97,99.26,100.3,96.12,1003182.0
2026-06-18,99.26,100.44,103.8,97.0,933649.0
2026-06-22,106.95,110.48,110.48,105.4,352573.0
2026-06-23,119.24,111.9,120.0,108.5,1301282.0
