date,open,close,high,low,amount
2026-02-24,4.16,4.22,4.24,4.15,5400878.0
2026-02-25,4.23,4.3,4.33,4.22,6011701.0
2026-02-26,4.32,4.27,4.32,4.26,4600392.0
2026-02-27,4.27,4.42,4.43,4.26,10992669.0
2026-03-02,4.38,4.43,4.53,4.37,10247288.0
2026-03-03,4.45,4.26,4.47,4.25,9324252.0
2026-03-04,4.23,4.26,4.32,4.2,6794714.0
2026-03-05,4.32,4.4,4.47,4.32,10403171.0
2026-03-06,4.36,4.31,4.37,4.25,9379855.0
2026-03-09,4.25,4.25,4.27,4.16,8427998.0
2026-03-10,4.29,4.29,4.33,4.27,5721243.0
2026-03-11,4.28,4.33,4.34,4.27,5817267.0
2026-03-12,4.34,4.36,4.41,4.32,7535264.0
2026-03-13,4.34,4.3,4.39,4.29,5289828.0
2026-03-16,4.28,4.17,4.28,4.14,9061153.0
2026-03-17,4.19,4.12,4.21,4.12,5143566.0
2026-03-18,4.17,4.14,4.17,4.09,5050721.0
2026-03-19,4.09,4.03,4.1,4.02,5203475.0
2026-03-20,4.05,4.02,4.09,4.01,4842912.0
2026-03-23,3.95,3.81,3.96,3.79,9139187.0
2026-03-24,3.86,3.94,3.94,3.84,5840204.0
2026-03-25,3.97,3.93,3.98,3.92,4393007.0
2026-03-26,3.93,3.88,3.95,3.87,3942963.0
2026-03-27,3.85,3.89,3.91,3.84,3566305.0
2026-03-30,3.85,3.88,3.89,3.83,3567123.0
2026-03-31,3.87,3.85,3.91,3.84,3892818.0
2026-04-01,3.95,3.95,4.0,3.91,5831404.0
2026-04-02,3.95,3.89,3.95,3.87,3903945.0
2026-04-03,3.9,3.87,3.91,3.86,2770514.0
2026-04-07,3.89,3.85,3.89,3.83,3465296.0
2026-04-08,3.92,3.97,3.98,3.89,5790905.0
2026-04-09,3.93,3.95,3.97,3.91,4182506.0
2026-04-10,3.99,3.98,4.02,3.97,4622698.0
2026-04-13,3.95,3.97,3.98,3.93,4046436.0
2026-04-14,3.99,3.96,4.02,3.93,4426941.0
2026-04-15,3.98,3.94,4.0,3.94,5348928.0
2026-04-16,3.95,3.97,3.98,3.92,4154285.0
2026-04-17,3.95,3.96,3.98,3.94,3098677.0
2026-04-20,4.0,4.13,4.18,3.99,11904594.0
2026-04-21,4.13,4.16,4.28,4.08,11348024.0
2026-04-22,4.14,4.21,4.22,4.14,6812882.0
2026-04-23,4.2,4.13,4.23,4.11,6914901.0
2026-04-24,4.11,4.07,4.13,4.05,4600998.0
2026-04-27,4.09,4.15,4.16,4.07,4824066.0
2026-04-28,4.14,4.09,4.15,4.08,3954386.0
2026-04-29,4.08,4.11,4.12,4.06,4140091.0
2026-04-30,4.07,4.02,4.12,4.02,7454049.0
2026-05-06,4.05,4.12,4.16,4.03,8280385.0
2026-05-07,4.14,4.15,4.19,4.1,6650426.0
2026-05-08,4.13,4.11,4.13,4.06,6379057.0
2026-05-11,4.11,4.13,4.17,4.1,6100840.0
2026-05-12,4.13,4.11,4.17,4.08,6185213.0
2026-05-13,4.11,4.17,4.17,4.09,6382206.0
2026-05-14,4.22,4.16,4.27,4.14,8761121.0
2026-05-15,4.16,4.08,4.18,4.06,8215945.0
2026-05-18,4.06,4.15,4.17,4.02,8399587.0
2026-05-19,4.14,4.25,4.26,4.11,8801051.0
2026-05-20,4.23,4.2,4.25,4.18,5717787.0
2026-05-21,4.63,4.63,4.63,4.63,10360100.0
2026-05-22,4.64,5.1,5.1,4.41,60110592.0
2026-05-25,5.11,5.21,5.31,5.0,43088758.0
2026-05-26,5.16,5.71,5.74,5.12,51377251.0
2026-05-27,5.74,5.66,6.03,5.47,50185216.0
2026-05-28,5.66,5.62,5.72,5.45,32854869.0
2026-05-29,5.57,5.05,5.58,5.05,36253859.0
2026-06-01,5.06,5.3,5.53,5.06,33868876.0
2026-06-02,5.25,5.41,5.48,5.05,30258455.0
2026-06-03,5.52,5.53,5.86,5.47,36797584.0
2026-06-04,5.63,6.09,6.09,5.63,33229988.0
2026-06-05,6.05,6.37,6.71,5.95,55041155.0
2026-06-08,6.42,6.23,6.68,6.16,45998759.0
2026-06-09,6.43,6.46,6.58,6.08,40031647.0
2026-06-10,6.28,5.97,6.32,5.88,32284804.0
2026-06-11,5.94,5.77,6.06,5.64,32996829.0
2026-06-12,5.89,5.51,5.95,5.5,29146434.0
2026-06-15,5.68,5.86,5.95,5.67,29928307.0
2026-06-16,5.87,6.04,6.17,5.8,26028372.0
2026-06-17,6.0,6.65,6.65,5.99,18550206.0
2026-06-18,6.86,6.55,6.93,6.49,40032427.0
2026-06-22,6.8,6.93,7.18,6.68,36729053.0
2026-06-23,6.85,6.77,7.07,6.61,29140578.0
