date,open,close,high,low,amount
2026-02-24,169.99,174.61,177.64,167.03,40382609.0
2026-02-25,174.62,167.74,174.63,165.61,35992104.0
2026-02-26,167.9,165.12,168.88,163.88,34361643.0
2026-02-27,162.5,163.55,165.68,161.56,25820772.0
2026-03-02,159.03,159.44,164.56,158.26,31212432.0
2026-03-03,160.06,147.89,160.96,147.67,52208958.0
2026-03-04,147.0,150.31,154.84,147.0,40725055.0
2026-03-05,156.51,152.63,156.83,151.11,30201925.0
2026-03-06,150.88,151.61,154.68,150.63,21090811.0
2026-03-09,145.0,148.18,149.28,140.83,36559849.0
2026-03-10,152.99,152.98,154.02,150.86,30572221.0
2026-03-11,154.09,149.8,154.31,149.32,25190545.0
2026-03-12,149.05,147.85,151.09,146.29,23528572.0
2026-03-13,146.77,146.5,150.45,145.24,26574876.0
2026-03-16,147.0,152.5,153.71,145.4,40965481.0
2026-03-17,153.0,146.59,153.0,146.42,29952447.0
2026-03-18,150.0,153.62,153.95,148.62,47978750.0
2026-03-19,150.54,149.68,153.56,148.75,38243378.0
2026-03-20,151.4,144.9,151.87,144.86,35075343.0
2026-03-23,139.99,136.8,142.38,135.91,38349982.0
2026-03-24,140.0,137.57,140.0,132.1,30040434.0
2026-03-25,139.5,142.0,143.88,139.2,32579974.0
2026-03-26,139.88,136.99,140.34,136.1,24847742.0
2026-03-27,132.01,135.1,136.95,131.59,23487311.0
2026-03-30,131.58,132.0,133.3,131.05,25571949.0
2026-03-31,130.0,125.28,130.0,125.0,36443845.0
2026-04-01,130.0,129.97,131.12,127.27,34230627.0
2026-04-02,131.6,129.0,133.4,127.72,30582423.0
2026-04-03,130.71,127.26,131.05,127.0,18598057.0
2026-04-07,128.97,127.9,130.5,127.69,19802596.0
2026-04-08,133.67,139.21,139.21,132.53,50042866.0
2026-04-09,137.52,139.17,141.9,136.66,37145423.0
2026-04-10,143.0,143.53,145.5,142.3,40140866.0
2026-04-13,142.4,152.3,155.15,142.38,53492100.0
2026-04-14,157.5,153.36,160.0,153.06,63013164.0
2026-04-15,156.0,147.18,156.08,146.03,49131662.0
2026-04-16,147.48,151.0,152.85,144.34,39731202.0
2026-04-17,150.52,150.78,155.0,150.03,45525375.0
2026-04-20,153.2,154.66,156.97,152.25,43231391.0
2026-04-21,154.69,158.4,159.63,149.66,45216078.0
2026-04-22,158.41,163.35,164.25,157.29,58169520.0
2026-04-23,166.65,159.7,168.88,158.15,62142969.0
2026-04-24,167.0,163.5,172.0,161.4,62112176.0
2026-04-27,174.77,178.09,180.6,171.07,82557442.0
2026-04-28,172.7,173.61,177.37,170.02,69486273.0
2026-04-29,171.0,169.9,171.95,165.35,51749650.0
2026-04-30,174.28,173.3,175.14,169.53,59128793.0
2026-05-06,190.3,198.98,205.57,188.01,110058976.0
2026-05-07,201.99,209.91,213.0,200.0,88544327.0
2026-05-08,205.0,210.27,212.19,203.68,62384507.0
2026-05-11,231.26,249.22,252.32,230.0,110214205.0
2026-05-12,240.85,240.7,245.74,231.08,97418900.0
2026-05-13,233.0,258.8,258.8,233.0,84875403.0
2026-05-14,280.0,265.08,282.0,262.97,107668865.0
2026-05-15,265.0,247.98,272.0,242.63,114528675.0
2026-05-18,247.2,247.99,258.88,243.55,78979110.0
2026-05-19,239.05,247.11,249.6,233.08,69032232.0
2026-05-20,247.12,257.3,261.98,247.11,74790177.0
2026-05-21,274.8,262.17,287.34,261.0,112004367.0
2026-05-22,272.88,271.83,276.74,262.01,78546603.0
2026-05-25,267.0,284.08,285.68,262.5,89425210.0
2026-05-26,286.0,272.29,286.0,265.55,78922272.0
2026-05-27,284.99,265.5,288.79,263.88,76621430.0
2026-05-28,260.0,260.98,263.85,253.23,62409077.0
2026-05-29,265.3,253.0,272.0,248.8,73056203.0
2026-06-01,250.88,232.3,252.8,232.12,71986274.0
2026-06-02,236.04,237.0,242.3,224.95,66631087.0
2026-06-03,248.25,253.9,265.11,245.11,91317385.0
2026-06-04,248.5,259.67,265.0,248.01,65095100.0
2026-06-05,249.98,239.39,254.56,237.61,69240758.0
2026-06-08,221.0,224.31,232.19,221.0,60937292.0
2026-06-09,233.58,236.4,239.16,228.85,52824428.0
2026-06-10,233.16,231.0,239.56,228.6,42964162.0
2026-06-11,231.0,228.7,234.63,224.72,42983718.0
2026-06-12,243.99,224.88,245.0,223.7,63745414.0
2026-06-15,230.22,240.1,240.18,223.33,53736169.0
2026-06-16,243.21,244.17,247.16,238.71,53836174.0
2026-06-17,238.87,262.5,262.65,238.09,74150670.0
2026-06-18,260.0,269.9,275.28,258.01,81571699.0
2026-06-22,276.0,280.05,285.0,269.0,79552829.0
2026-06-23,275.01,258.0,278.0,255.55,77489904.0
