date,open,close,high,low,amount
2026-02-24,303.48,307.51,312.21,300.92,122548.0
2026-02-25,300.86,296.76,301.01,292.36,105052.0
2026-02-26,296.01,298.82,303.01,289.01,110641.0
2026-02-27,293.01,290.71,293.43,288.1,79979.0
2026-03-02,280.01,281.99,287.88,279.19,85271.0
2026-03-03,281.03,261.91,284.01,261.91,121192.0
2026-03-04,279.16,301.0,305.76,279.16,268447.0
2026-03-05,307.03,295.31,309.86,294.24,215079.0
2026-03-06,293.83,305.01,310.96,292.96,170814.0
2026-03-09,296.99,329.13,329.26,296.51,245495.0
2026-03-10,336.01,332.52,339.45,323.69,218075.0
2026-03-11,332.01,323.6,332.89,322.03,164854.0
2026-03-12,322.51,318.01,330.21,314.02,125112.0
2026-03-13,317.01,325.18,336.01,315.04,185629.0
2026-03-16,325.01,345.81,355.0,321.01,218770.0
2026-03-17,342.01,330.91,344.28,329.51,153734.0
2026-03-18,341.01,358.31,364.01,339.03,242904.0
2026-03-19,347.01,355.51,367.6,341.57,212698.0
2026-03-20,348.86,329.11,350.5,327.01,218210.0
2026-03-23,309.01,305.21,322.89,304.01,147699.0
2026-03-24,309.01,322.51,324.88,290.41,170982.0
2026-03-25,321.89,337.17,348.96,319.01,184208.0
2026-03-26,324.13,326.01,333.59,317.11,142297.0
2026-03-27,309.01,319.04,326.14,307.03,119604.0
2026-03-30,309.25,314.01,328.81,309.19,126714.0
2026-03-31,301.01,296.09,303.99,290.01,150635.0
2026-04-01,318.01,298.12,322.01,294.1,193446.0
2026-04-02,299.41,288.45,304.02,288.01,117211.0
2026-04-03,290.51,284.58,293.69,284.09,83677.0
2026-04-07,289.83,296.51,300.34,287.15,115131.0
2026-04-08,317.12,322.93,322.96,305.7,167878.0
2026-04-09,315.76,324.51,330.07,314.01,142436.0
2026-04-10,332.01,340.31,346.7,329.81,190471.0
2026-04-13,339.17,353.51,356.0,337.61,187119.0
2026-04-14,356.92,380.52,392.87,354.01,241660.0
2026-04-15,386.01,370.58,386.52,367.56,192022.0
2026-04-16,355.01,371.07,374.19,355.01,154402.0
2026-04-17,365.01,369.53,372.74,357.01,140091.0
2026-04-20,368.01,374.22,384.79,366.01,141627.0
2026-04-21,377.01,374.97,378.81,362.34,107650.0
2026-04-22,377.23,381.75,382.3,372.01,118444.0
2026-04-23,390.06,357.2,392.01,357.03,187202.0
2026-04-24,358.02,372.2,381.61,352.04,164982.0
2026-04-27,373.94,392.47,398.89,368.11,189548.0
2026-04-28,399.0,380.71,410.03,380.51,263435.0
2026-04-29,380.11,413.31,415.31,379.02,231871.0
2026-04-30,409.01,400.13,413.01,395.01,189013.0
2026-05-06,431.01,480.35,480.35,425.13,263417.0
2026-05-07,489.01,482.34,507.59,479.78,308884.0
2026-05-08,473.65,479.0,484.01,471.68,191975.0
2026-05-11,527.01,555.67,563.96,514.01,269581.0
2026-05-12,546.18,560.65,571.17,536.48,229992.0
2026-05-13,551.01,610.91,614.89,537.01,258994.0
2026-05-14,604.8,598.01,637.51,598.01,245142.0
2026-05-15,595.99,589.53,607.01,564.01,235802.0
2026-05-18,585.01,591.23,616.01,579.01,231617.0
2026-05-19,568.95,561.44,571.01,540.71,206100.0
2026-05-20,555.82,570.51,576.12,555.82,158427.0
2026-05-21,582.41,538.01,584.01,535.69,185749.0
2026-05-22,550.01,548.51,564.01,535.81,156034.0
2026-05-25,546.01,564.51,565.67,537.52,182409.0
2026-05-26,556.21,537.96,556.95,526.02,171889.0
2026-05-27,564.17,550.6,585.0,545.01,252005.0
2026-05-28,540.01,547.02,562.01,531.1,150232.0
2026-05-29,553.71,550.3,572.43,530.51,176777.0
2026-06-01,561.32,504.81,562.8,503.01,175348.0
2026-06-02,505.83,519.5,529.66,495.71,158027.0
2026-06-03,518.79,532.51,555.95,517.72,187728.0
2026-06-04,528.0,568.48,580.0,525.0,241807.0
2026-06-05,540.01,520.01,545.1,520.0,213782.0
2026-06-08,470.0,485.06,496.44,470.0,140413.0
2026-06-09,500.03,514.65,517.7,497.0,121553.0
2026-06-10,506.88,507.0,523.58,500.05,106837.0
2026-06-11,506.99,514.8,517.88,498.0,111787.0
2026-06-12,545.0,514.89,552.56,514.89,227530.0
2026-06-15,529.03,529.23,532.0,501.28,162392.0
2026-06-16,536.04,540.23,548.25,524.0,165428.0
2026-06-17,525.07,571.68,586.66,520.53,259485.0
2026-06-18,563.3,577.79,598.38,560.0,234411.0
2026-06-22,590.0,616.16,617.0,583.17,235979.0
2026-06-23,610.0,596.01,639.83,590.1,218251.0
