date,open,close,high,low,amount
2026-02-24,365.73,355.04,366.59,355.04,226951.0
2026-02-25,356.78,355.27,359.69,353.19,187166.0
2026-02-26,349.14,339.09,351.29,336.59,435414.0
2026-02-27,340.21,335.1,342.03,335.1,254466.0
2026-03-02,334.09,333.31,337.99,329.77,283513.0
2026-03-03,339.42,337.16,347.44,337.12,400075.0
2026-03-04,334.19,331.99,335.11,327.29,250804.0
2026-03-05,337.67,343.34,346.94,335.75,310061.0
2026-03-06,342.09,347.86,350.11,337.75,209631.0
2026-03-09,341.93,350.59,352.94,338.15,317976.0
2026-03-10,368.09,369.39,372.86,359.59,507417.0
2026-03-11,372.67,389.89,396.64,372.07,575987.0
2026-03-12,393.09,388.59,393.99,385.79,291504.0
2026-03-13,386.97,390.09,397.08,386.89,355826.0
2026-03-16,394.86,401.49,406.26,391.09,373521.0
2026-03-17,408.87,398.09,413.09,397.65,359807.0
2026-03-18,398.45,395.11,399.09,389.86,265300.0
2026-03-19,395.03,393.59,407.09,393.09,292866.0
2026-03-20,398.17,406.09,415.17,393.22,537297.0
2026-03-23,410.42,395.08,410.45,391.84,446141.0
2026-03-24,398.09,390.08,404.99,381.09,364105.0
2026-03-25,386.09,390.9,393.59,380.89,267528.0
2026-03-26,386.93,395.59,406.81,385.09,267637.0
2026-03-27,399.21,409.27,411.42,394.82,302580.0
2026-03-30,406.09,406.09,411.94,398.69,253484.0
2026-03-31,406.09,394.79,410.04,394.67,249256.0
2026-04-01,402.82,398.8,402.96,389.09,231701.0
2026-04-02,400.99,394.26,405.08,390.29,223056.0
2026-04-03,393.09,379.55,393.89,378.22,247515.0
2026-04-07,383.07,377.68,386.29,374.58,172576.0
2026-04-08,389.59,384.39,390.74,381.31,364184.0
2026-04-09,387.19,383.08,387.37,379.75,259552.0
2026-04-10,387.09,409.09,412.09,385.77,507887.0
2026-04-13,411.09,420.22,426.42,409.09,412399.0
2026-04-14,414.59,423.88,425.58,407.49,442208.0
2026-04-15,431.97,424.09,432.55,420.16,373536.0
2026-04-16,434.09,447.07,453.09,426.11,635062.0
2026-04-17,449.05,437.29,450.73,434.1,365358.0
2026-04-20,426.09,425.59,430.99,419.1,529278.0
2026-04-21,428.09,440.69,443.22,418.19,577746.0
2026-04-22,441.01,436.35,447.97,433.13,460254.0
2026-04-23,443.5,438.9,443.6,435.0,354310.0
2026-04-24,442.0,444.9,448.45,438.0,395425.0
2026-04-27,444.63,434.88,448.76,433.8,330613.0
2026-04-28,426.19,427.67,433.3,423.0,350121.0
2026-04-29,432.0,445.0,445.15,428.0,376336.0
2026-04-30,446.5,436.0,449.5,436.0,298121.0
2026-05-06,457.5,460.0,465.88,448.63,473727.0
2026-05-07,468.75,451.64,468.75,447.0,386213.0
2026-05-08,449.0,437.0,455.5,436.2,366049.0
2026-05-11,440.0,446.11,450.51,435.1,341901.0
2026-05-12,446.59,431.25,446.85,429.29,341515.0
2026-05-13,431.01,434.05,436.58,427.08,316858.0
2026-05-14,449.38,427.0,450.45,427.0,347046.0
2026-05-15,428.08,423.6,431.5,421.0,297049.0
2026-05-18,420.58,417.23,422.9,414.0,284983.0
2026-05-19,415.86,417.92,419.9,406.8,260877.0
2026-05-20,417.0,414.75,422.99,412.66,281190.0
2026-05-21,419.87,411.63,427.62,411.42,338672.0
2026-05-22,414.7,411.16,416.5,410.0,277884.0
2026-05-25,411.28,402.88,414.5,400.0,381977.0
2026-05-26,406.19,402.5,408.77,400.36,350627.0
2026-05-27,413.92,414.8,428.9,411.29,533729.0
2026-05-28,420.0,415.68,420.58,406.2,327771.0
2026-05-29,423.0,424.0,430.86,416.55,498119.0
2026-06-01,432.1,420.1,438.24,418.18,386005.0
2026-06-02,425.0,433.89,437.75,423.0,387982.0
2026-06-03,437.0,426.42,437.0,420.1,385526.0
2026-06-04,426.42,408.2,426.9,407.18,431155.0
2026-06-05,407.89,403.0,412.65,402.7,287389.0
2026-06-08,395.8,393.02,402.68,390.7,286526.0
2026-06-09,399.99,399.5,401.87,388.0,277351.0
2026-06-10,395.28,388.5,399.0,385.12,244357.0
2026-06-11,386.98,382.2,391.34,380.03,268654.0
2026-06-12,389.99,394.85,399.54,383.3,414208.0
2026-06-15,402.0,398.1,407.9,393.41,340749.0
2026-06-16,408.88,403.53,409.02,398.5,348393.0
2026-06-17,400.0,399.0,403.3,395.58,250093.0
2026-06-18,400.39,391.55,409.89,389.92,385481.0
2026-06-22,393.0,408.98,413.33,386.0,594648.0
2026-06-23,411.0,392.51,414.04,390.73,373741.0
