date,open,close,high,low,amount
2026-02-24,262.14,265.04,274.91,251.57,465194.0
2026-02-25,263.57,272.14,276.64,262.51,339786.0
2026-02-26,273.58,274.93,276.84,267.36,316634.0
2026-02-27,264.29,256.33,265.53,255.01,509101.0
2026-03-02,247.67,271.43,274.29,246.96,552073.0
2026-03-03,271.43,272.29,281.77,270.0,511459.0
2026-03-04,269.0,263.12,273.49,261.18,326122.0
2026-03-05,274.24,285.89,301.14,273.04,696779.0
2026-03-06,280.16,286.43,293.57,275.78,404315.0
2026-03-09,270.71,273.57,275.94,263.09,441664.0
2026-03-10,281.25,283.09,285.71,272.56,424881.0
2026-03-11,285.01,280.16,290.71,279.43,338382.0
2026-03-12,285.01,269.84,288.46,267.62,346187.0
2026-03-13,265.84,280.74,284.99,265.01,407737.0
2026-03-16,282.17,294.45,297.88,279.29,472241.0
2026-03-17,300.72,277.38,304.2,274.95,453934.0
2026-03-18,284.43,307.07,307.39,283.57,609727.0
2026-03-19,304.29,313.86,321.29,304.29,543572.0
2026-03-20,333.57,340.04,349.49,327.06,671922.0
2026-03-23,325.09,328.17,340.62,322.86,480832.0
2026-03-24,327.14,333.57,333.81,312.14,406861.0
2026-03-25,349.44,339.43,350.71,330.0,458162.0
2026-03-26,334.3,325.71,342.14,324.37,365099.0
2026-03-27,318.06,318.86,328.79,313.58,298317.0
2026-03-30,317.29,326.7,330.71,317.29,255254.0
2026-03-31,317.61,315.6,323.93,309.79,283290.0
2026-04-01,328.95,328.29,330.0,316.43,312649.0
2026-04-02,322.94,318.92,328.56,315.57,218135.0
2026-04-03,325.71,324.5,334.29,323.61,336360.0
2026-04-07,320.71,326.93,333.57,314.42,284174.0
2026-04-08,338.64,357.5,357.86,334.35,469399.0
2026-04-09,350.21,349.29,354.86,347.86,298416.0
2026-04-10,351.43,372.5,376.43,345.71,444844.0
2026-04-13,369.29,365.51,372.14,356.44,375113.0
2026-04-14,372.81,370.71,384.21,367.14,387738.0
2026-04-15,374.3,354.27,380.71,349.3,460646.0
2026-04-16,354.29,383.21,384.95,353.57,418603.0
2026-04-17,392.14,420.0,420.7,386.45,416195.0
2026-04-20,420.0,415.71,425.69,411.43,342506.0
2026-04-21,412.14,412.5,415.71,403.57,287544.0
2026-04-22,405.71,444.08,445.9,405.02,433446.0
2026-04-23,441.43,433.77,447.71,428.56,401775.0
2026-04-24,394.11,383.05,404.04,376.44,913871.0
2026-04-27,391.71,383.57,394.29,381.33,468082.0
2026-04-28,383.1,381.76,390.71,368.58,357953.0
2026-04-29,377.14,382.86,391.79,375.0,275645.0
2026-04-30,391.43,374.85,391.43,369.29,302098.0
2026-05-06,384.93,372.49,386.84,368.57,420933.0
2026-05-07,373.46,401.79,402.86,365.71,533930.0
2026-05-08,394.29,393.34,399.99,389.62,298005.0
2026-05-11,395.0,401.93,406.42,374.46,581077.0
2026-05-12,410.0,422.51,427.68,407.08,524973.0
2026-05-13,417.22,448.56,449.85,415.13,423739.0
2026-05-14,457.5,440.64,466.21,432.79,382290.0
2026-05-15,440.0,435.04,449.06,418.06,356062.0
2026-05-18,427.14,427.8,440.19,422.86,292637.0
2026-05-19,427.51,408.21,427.79,399.51,339052.0
2026-05-20,410.28,419.26,428.49,407.51,326624.0
2026-05-21,419.52,403.57,430.38,403.05,328097.0
2026-05-22,411.66,432.69,437.77,406.43,404278.0
2026-05-25,442.24,470.01,470.76,424.29,476893.0
2026-05-26,467.86,499.29,501.84,467.14,463532.0
2026-05-27,492.52,495.71,510.0,487.74,351379.0
2026-05-28,495.71,512.39,518.57,479.12,339478.0
2026-05-29,512.14,503.89,523.56,500.01,332555.0
2026-06-01,505.81,484.87,509.09,480.07,295925.0
2026-06-02,496.43,532.86,536.43,494.36,387107.0
2026-06-03,542.14,558.04,582.13,540.76,426909.0
2026-06-04,551.76,553.53,560.69,545.0,254101.0
2026-06-05,563.57,533.57,583.84,520.71,441765.0
2026-06-08,507.22,517.14,531.43,503.49,322561.0
2026-06-09,534.21,560.52,567.14,526.43,348609.0
2026-06-10,549.29,551.07,570.54,542.21,308882.0
2026-06-11,552.0,526.0,575.0,498.67,667564.0
2026-06-12,540.0,506.46,544.98,502.8,654443.0
2026-06-15,515.0,540.49,540.88,490.13,612302.0
2026-06-16,541.51,549.0,561.77,535.01,405700.0
2026-06-17,545.7,557.88,558.5,537.11,389548.0
2026-06-18,552.66,581.48,588.0,551.18,428749.0
2026-06-22,584.1,579.97,591.0,560.0,455114.0
2026-06-23,575.0,552.0,587.0,540.0,444398.0
