date,open,close,high,low,amount
2026-02-24,54.53,58.63,59.2,54.33,605615.0
2026-02-25,58.4,63.18,63.3,57.9,601363.0
2026-02-26,63.9,69.52,69.52,63.9,526006.0
2026-02-27,69.52,72.1,73.01,68.52,833466.0
2026-03-02,70.8,74.42,75.68,70.51,557394.0
2026-03-03,74.3,70.25,74.55,70.0,724445.0
2026-03-04,69.6,69.85,70.62,67.26,417824.0
2026-03-05,69.46,71.28,73.98,68.8,498191.0
2026-03-06,71.11,69.34,71.7,68.05,328108.0
2026-03-09,66.4,67.57,67.8,64.1,517322.0
2026-03-10,68.86,72.81,73.58,68.86,447111.0
2026-03-11,73.07,72.15,74.86,71.5,354342.0
2026-03-12,71.55,70.55,72.6,69.35,266941.0
2026-03-13,70.33,68.5,70.9,67.8,260122.0
2026-03-16,68.48,67.16,68.49,65.7,326695.0
2026-03-17,67.62,63.53,68.06,63.3,293434.0
2026-03-18,63.82,64.93,65.28,63.65,276237.0
2026-03-19,64.2,62.8,64.2,62.28,254050.0
2026-03-20,63.58,64.39,65.91,62.33,417423.0
2026-03-23,61.9,59.7,63.76,59.0,392871.0
2026-03-24,61.63,61.56,62.18,59.42,291758.0
2026-03-25,62.8,63.69,65.86,62.54,336732.0
2026-03-26,64.14,61.71,64.18,61.38,191922.0
2026-03-27,60.29,62.66,64.05,60.28,193336.0
2026-03-30,62.63,63.65,64.37,61.2,235728.0
2026-03-31,63.7,61.08,64.35,60.62,249244.0
2026-04-01,63.16,63.9,64.3,61.87,311529.0
2026-04-02,63.7,61.51,64.03,60.69,231456.0
2026-04-03,62.03,63.66,65.28,61.61,283844.0
2026-04-07,64.39,64.16,65.51,63.06,289710.0
2026-04-08,67.7,70.6,70.6,65.22,583577.0
2026-04-09,70.8,76.16,77.68,70.34,664940.0
2026-04-10,76.16,76.35,77.12,75.35,451462.0
2026-04-13,74.81,75.58,76.62,74.81,326711.0
2026-04-14,76.4,82.5,83.16,75.86,554951.0
2026-04-15,82.42,78.59,82.61,78.2,513557.0
2026-04-16,77.61,86.47,86.47,77.61,502765.0
2026-04-17,88.2,87.36,89.51,86.07,507345.0
2026-04-20,88.39,88.98,91.48,86.5,462654.0
2026-04-21,89.4,92.6,95.6,88.64,460231.0
2026-04-22,91.11,93.98,95.8,91.11,430254.0
2026-04-23,94.8,103.4,103.4,93.36,651194.0
2026-04-24,103.4,102.26,105.79,99.3,526756.0
2026-04-27,100.79,104.47,106.8,99.36,511923.0
2026-04-28,102.8,105.02,110.76,100.8,577771.0
2026-04-29,103.8,103.14,105.67,100.97,374459.0
2026-04-30,102.11,100.52,103.91,98.13,632966.0
2026-05-06,100.9,101.99,103.75,98.69,541673.0
2026-05-07,101.87,112.21,112.21,101.87,413907.0
2026-05-08,115.2,121.86,122.72,112.0,649524.0
2026-05-11,124.3,134.07,134.07,124.3,674366.0
2026-05-12,134.0,134.46,139.62,128.08,664624.0
2026-05-13,138.12,147.93,147.93,137.15,438890.0
2026-05-14,152.8,149.03,156.3,146.87,612225.0
2026-05-15,149.04,143.1,150.9,138.51,545704.0
2026-05-18,140.84,138.33,142.6,136.57,586277.0
2026-05-19,137.69,136.79,139.71,133.71,438754.0
2026-05-20,135.6,144.34,145.7,135.48,624467.0
2026-05-21,146.61,142.59,152.49,140.01,664306.0
2026-05-22,139.74,146.28,150.0,139.74,568736.0
2026-05-25,146.8,142.23,147.52,138.15,462376.0
2026-05-26,142.18,135.45,143.0,130.1,739365.0
2026-05-27,134.01,131.31,138.0,129.0,482716.0
2026-05-28,132.88,135.98,137.85,132.55,458812.0
2026-05-29,136.1,131.85,137.69,130.07,389035.0
2026-06-01,133.68,124.91,136.52,124.8,401492.0
2026-06-02,125.1,127.0,129.76,123.32,367989.0
2026-06-03,127.08,130.6,134.6,124.0,561596.0
2026-06-04,129.75,134.65,138.0,126.59,673002.0
2026-06-05,133.99,127.87,135.62,127.0,568179.0
2026-06-08,122.22,120.86,127.04,120.35,578765.0
2026-06-09,123.03,124.5,126.01,118.9,402942.0
2026-06-10,122.0,122.48,123.45,116.3,448514.0
2026-06-11,121.28,121.45,126.0,119.45,345858.0
2026-06-12,127.0,119.12,127.2,118.0,371677.0
2026-06-15,121.15,124.2,125.13,118.0,449524.0
2026-06-16,125.74,136.62,136.62,123.0,585798.0
2026-06-17,139.35,135.84,143.0,130.08,1037138.0
2026-06-18,135.54,134.9,137.86,129.2,869899.0
2026-06-22,136.88,131.93,140.35,128.0,877822.0
2026-06-23,134.0,145.11,145.12,132.0,1224537.0
