date,open,close,high,low,amount
2026-02-24,139.88,145.47,145.83,138.0,283709.0
2026-02-25,142.0,143.27,143.6,138.38,202325.0
2026-02-26,143.27,148.23,148.58,139.71,261813.0
2026-02-27,145.51,148.98,148.98,143.68,174158.0
2026-03-02,145.0,144.86,147.75,143.68,180631.0
2026-03-03,144.08,135.18,145.76,134.37,214361.0
2026-03-04,137.0,140.52,146.76,137.0,314786.0
2026-03-05,145.52,138.35,145.98,137.5,253893.0
2026-03-06,136.8,155.04,155.5,136.16,554389.0
2026-03-09,149.01,157.8,158.67,145.0,377491.0
2026-03-10,160.2,161.85,165.32,158.58,365647.0
2026-03-11,160.51,156.83,162.22,155.58,282411.0
2026-03-12,156.3,152.7,158.4,150.66,188076.0
2026-03-13,150.0,153.55,159.99,149.46,248325.0
2026-03-16,153.82,159.89,161.68,149.54,301513.0
2026-03-17,158.33,153.65,159.96,153.57,202954.0
2026-03-18,156.5,169.99,172.95,155.3,493264.0
2026-03-19,162.92,161.68,167.2,160.08,328680.0
2026-03-20,163.96,157.15,165.5,154.0,314275.0
2026-03-23,149.76,143.19,153.2,142.8,274490.0
2026-03-24,145.74,143.79,145.77,136.5,248093.0
2026-03-25,144.49,148.44,152.86,143.6,255886.0
2026-03-26,143.0,147.19,155.0,141.94,291505.0
2026-03-27,140.0,143.96,146.66,137.1,198623.0
2026-03-30,140.06,137.1,143.97,135.0,261182.0
2026-03-31,133.34,125.63,133.76,124.41,352617.0
2026-04-01,132.82,128.08,133.76,126.15,265707.0
2026-04-02,129.01,125.5,130.95,124.62,180806.0
2026-04-03,128.0,121.98,128.1,121.95,170212.0
2026-04-07,123.5,123.48,126.94,122.8,177805.0
2026-04-08,145.71,148.18,148.18,136.67,596991.0
2026-04-09,149.57,147.55,152.8,145.02,531628.0
2026-04-10,150.0,151.25,153.49,148.95,443550.0
2026-04-13,148.51,152.0,153.47,148.46,365772.0
2026-04-14,155.3,158.58,163.0,154.7,512194.0
2026-04-15,160.0,153.94,162.96,152.58,423253.0
2026-04-16,152.41,156.8,157.34,148.66,330633.0
2026-04-17,156.0,159.12,160.58,153.33,351589.0
2026-04-20,159.5,164.0,167.54,158.25,402637.0
2026-04-21,162.07,160.82,162.78,157.0,274138.0
2026-04-22,159.8,162.12,162.21,158.8,255445.0
2026-04-23,164.44,156.39,164.98,153.84,356078.0
2026-04-24,160.0,162.05,172.14,158.51,660893.0
2026-04-27,163.87,170.99,172.86,163.0,542690.0
2026-04-28,170.73,171.61,178.68,168.0,531721.0
2026-04-29,169.06,174.3,175.95,169.06,488070.0
2026-04-30,173.76,174.7,178.78,170.41,392180.0
2026-05-06,188.99,194.66,204.0,186.0,669301.0
2026-05-07,194.77,189.18,199.0,188.66,539544.0
2026-05-08,183.95,181.02,184.88,180.0,463179.0
2026-05-11,191.0,193.58,201.9,188.0,682036.0
2026-05-12,192.0,184.61,193.02,183.91,432779.0
2026-05-13,181.46,194.64,195.44,178.96,494138.0
2026-05-14,194.65,200.5,209.86,190.0,633008.0
2026-05-15,200.1,190.4,202.28,186.9,504576.0
2026-05-18,190.56,194.35,203.33,190.56,441761.0
2026-05-19,190.0,188.88,190.9,179.38,400858.0
2026-05-20,188.0,186.4,192.77,184.21,304203.0
2026-05-21,190.82,177.75,192.99,176.66,434935.0
2026-05-22,181.21,187.69,187.86,179.22,359544.0
2026-05-25,187.69,204.56,204.86,184.86,503434.0
2026-05-26,202.0,194.93,203.0,189.35,394394.0
2026-05-27,203.5,192.72,204.99,191.87,452796.0
2026-05-28,190.0,188.0,193.45,182.43,337073.0
2026-05-29,189.5,180.09,193.66,176.58,365211.0
2026-06-01,180.48,167.09,182.0,166.8,300865.0
2026-06-02,168.0,175.13,179.35,165.3,348483.0
2026-06-03,174.35,177.03,184.93,174.0,330252.0
2026-06-04,174.77,184.96,188.63,174.1,370934.0
2026-06-05,179.42,171.9,179.71,170.95,311709.0
2026-06-08,160.0,159.13,165.58,156.51,270296.0
2026-06-09,163.96,173.3,174.2,160.61,332935.0
2026-06-10,170.2,178.19,183.0,169.43,341661.0
2026-06-11,175.0,182.16,182.48,174.21,246482.0
2026-06-12,188.11,187.5,194.96,186.04,480355.0
2026-06-15,193.0,204.29,205.0,184.3,491749.0
2026-06-16,204.29,204.41,208.5,200.5,316153.0
2026-06-17,198.98,245.29,245.29,197.0,519827.0
2026-06-18,250.0,254.87,258.78,245.5,582481.0
2026-06-22,259.0,287.8,292.0,258.0,478440.0
2026-06-23,283.56,283.51,300.0,274.37,492620.0
