date,open,close,high,low,amount
2026-02-24,151.07,149.92,153.14,148.91,304881.0
2026-02-25,148.91,153.41,155.8,148.67,438373.0
2026-02-26,152.31,144.96,152.38,144.89,813504.0
2026-02-27,144.31,143.81,146.18,143.19,427636.0
2026-03-02,141.4,148.69,149.48,141.39,766175.0
2026-03-03,152.32,149.8,156.11,149.55,769465.0
2026-03-04,147.17,148.02,150.31,145.61,441079.0
2026-03-05,150.81,147.77,151.19,145.66,401506.0
2026-03-06,147.82,149.11,151.19,145.69,364560.0
2026-03-09,147.8,155.11,156.16,146.88,822301.0
2026-03-10,157.3,155.41,158.0,152.51,593418.0
2026-03-11,155.73,170.23,174.97,155.7,1445728.0
2026-03-12,170.85,172.41,173.08,167.71,1025687.0
2026-03-13,174.4,174.7,181.3,174.17,1020143.0
2026-03-16,178.31,172.31,178.51,169.51,725374.0
2026-03-17,173.96,165.79,176.44,165.41,730928.0
2026-03-18,166.64,165.9,167.3,160.65,642825.0
2026-03-19,162.95,164.41,169.69,162.95,583427.0
2026-03-20,165.84,172.91,179.46,162.96,1183556.0
2026-03-23,174.31,167.85,178.77,166.32,1020584.0
2026-03-24,169.21,163.99,170.69,156.2,895460.0
2026-03-25,164.0,166.39,167.8,159.41,693258.0
2026-03-26,164.4,165.31,171.31,161.83,579832.0
2026-03-27,165.3,162.66,166.81,160.53,578375.0
2026-03-30,163.9,156.41,163.91,153.91,698159.0
2026-03-31,154.85,150.07,156.97,150.0,614779.0
2026-04-01,140.21,133.76,142.31,130.31,1667303.0
2026-04-02,130.75,126.56,131.81,125.86,1141405.0
2026-04-03,126.51,122.63,127.11,122.14,707771.0
2026-04-07,122.81,121.59,123.6,121.05,522241.0
2026-04-08,123.87,126.3,126.61,123.16,794225.0
2026-04-09,124.65,123.11,124.67,122.11,595682.0
2026-04-10,124.92,130.1,132.31,124.92,1049795.0
2026-04-13,128.34,133.55,135.62,128.33,850777.0
2026-04-14,134.32,138.77,141.43,130.81,1064538.0
2026-04-15,138.21,133.2,138.65,132.36,903080.0
2026-04-16,134.31,133.21,135.19,132.23,650559.0
2026-04-17,132.39,132.06,135.09,131.37,652054.0
2026-04-20,132.04,134.51,135.59,130.67,659119.0
2026-04-21,135.3,135.54,136.08,132.66,517375.0
2026-04-22,134.87,136.22,136.41,134.26,578538.0
2026-04-23,136.81,133.81,137.9,131.87,648805.0
2026-04-24,133.27,133.1,134.67,132.22,422508.0
2026-04-27,131.01,130.7,131.83,128.51,631574.0
2026-04-28,124.98,129.2,131.81,124.12,1238034.0
2026-04-29,128.31,137.38,138.19,126.31,1157470.0
2026-04-30,137.78,136.72,139.52,135.71,638725.0
2026-05-06,136.99,139.84,141.69,135.11,729477.0
2026-05-07,139.92,138.81,141.18,137.63,537728.0
2026-05-08,137.37,139.16,142.3,137.31,615447.0
2026-05-11,139.47,143.35,146.11,139.37,746845.0
2026-05-12,144.0,139.85,144.44,139.6,543105.0
2026-05-13,139.5,142.65,142.98,139.4,555461.0
2026-05-14,142.65,135.03,143.8,134.21,820489.0
2026-05-15,136.0,152.95,155.99,131.02,1734615.0
2026-05-18,152.9,152.25,155.33,148.01,952476.0
2026-05-19,154.0,157.38,161.32,153.72,1010387.0
2026-05-20,158.34,167.2,170.89,156.1,1177186.0
2026-05-21,167.3,165.38,173.0,164.5,1133162.0
2026-05-22,168.0,164.51,171.94,162.5,890530.0
2026-05-25,165.44,167.24,171.03,159.0,904130.0
2026-05-26,166.8,178.99,181.77,163.7,1134374.0
2026-05-27,182.6,184.09,191.71,180.82,1133536.0
2026-05-28,182.89,190.09,190.98,179.02,834248.0
2026-05-29,190.14,177.99,190.63,176.0,881351.0
2026-06-01,183.82,174.0,186.98,172.68,719157.0
2026-06-02,179.99,172.7,181.01,167.5,635626.0
2026-06-03,171.0,170.8,175.67,166.7,642972.0
2026-06-04,168.79,164.35,169.0,163.0,678026.0
2026-06-05,165.99,153.75,166.25,152.85,840044.0
2026-06-08,150.11,146.8,153.75,146.0,590255.0
2026-06-09,149.44,152.5,153.3,144.57,603097.0
2026-06-10,150.27,143.55,150.44,141.21,648768.0
2026-06-11,144.33,146.75,152.05,142.37,549008.0
2026-06-12,149.68,148.76,157.0,146.28,863185.0
2026-06-15,151.0,149.1,151.51,146.44,565458.0
2026-06-16,150.41,152.49,156.83,147.88,701207.0
2026-06-17,150.0,149.15,152.32,146.8,604968.0
2026-06-18,148.16,146.98,151.68,145.25,611957.0
2026-06-22,149.5,163.46,167.15,149.06,1139215.0
2026-06-23,161.0,152.0,162.0,150.4,823729.0
