date,open,close,high,low,amount
2026-02-24,39.49,39.32,39.65,38.98,2467460.0
2026-02-25,39.4,39.63,40.26,38.86,2897095.0
2026-02-26,39.89,39.37,39.96,38.94,1990664.0
2026-02-27,39.2,39.55,40.05,39.01,2420602.0
2026-03-02,40.4,40.77,40.9,39.1,4775134.0
2026-03-03,40.35,38.86,40.35,38.66,4140938.0
2026-03-04,37.7,37.96,38.89,37.48,3125702.0
2026-03-05,38.46,37.67,38.48,37.2,2606599.0
2026-03-06,37.01,37.1,37.48,36.24,2539470.0
2026-03-09,35.93,36.4,36.67,34.86,3906290.0
2026-03-10,36.98,37.13,37.54,36.8,2013124.0
2026-03-11,37.5,37.24,37.64,37.04,1481313.0
2026-03-12,36.79,36.75,37.16,36.35,1891130.0
2026-03-13,36.2,35.77,36.94,35.6,2471205.0
2026-03-16,35.04,34.75,35.17,33.6,4207313.0
2026-03-17,34.73,34.9,35.55,34.67,2253776.0
2026-03-18,34.74,34.92,35.0,34.35,1990248.0
2026-03-19,33.25,32.32,33.9,32.12,5279354.0
2026-03-20,32.2,31.65,32.85,31.43,3850343.0
2026-03-23,30.21,30.58,31.34,29.8,4933043.0
2026-03-24,31.25,32.2,32.38,30.91,4572645.0
2026-03-25,33.5,33.24,33.98,33.09,4106152.0
2026-03-26,33.1,32.09,33.24,31.83,3050473.0
2026-03-27,31.5,32.47,32.72,31.5,2282467.0
2026-03-30,32.2,32.78,32.8,31.88,2369010.0
2026-03-31,32.98,32.72,33.5,32.6,2531059.0
2026-04-01,33.86,34.15,34.58,33.62,3237031.0
2026-04-02,33.99,33.12,33.99,32.7,2589426.0
2026-04-03,33.25,32.91,33.33,32.82,1419991.0
2026-04-07,32.8,32.41,33.1,32.33,1506498.0
2026-04-08,34.0,34.62,34.76,34.0,4079541.0
2026-04-09,33.99,33.9,34.19,33.74,2206590.0
2026-04-10,34.23,33.75,34.58,33.7,2375710.0
2026-04-13,33.38,33.66,33.8,33.31,1765321.0
2026-04-14,34.49,34.8,34.95,34.35,2988457.0
2026-04-15,35.75,34.91,36.0,34.81,2991792.0
2026-04-16,35.0,35.3,35.39,35.0,2009412.0
2026-04-17,35.0,34.73,35.1,34.5,2155828.0
2026-04-20,34.86,34.82,35.29,34.7,2256403.0
2026-04-21,34.98,35.66,35.68,34.5,3119791.0
2026-04-22,35.67,35.53,35.86,35.24,3723920.0
2026-04-23,35.56,34.4,35.56,34.14,3566449.0
2026-04-24,34.02,34.31,34.42,33.53,2577934.0
2026-04-27,34.0,33.56,34.25,33.48,2310885.0
2026-04-28,33.33,32.95,33.46,32.88,2070092.0
2026-04-29,32.55,34.14,34.2,32.51,3034995.0
2026-04-30,33.7,33.3,34.02,33.08,2403899.0
2026-05-06,33.5,34.21,34.38,33.21,3990720.0
2026-05-07,34.84,34.46,35.17,34.12,3360414.0
2026-05-08,34.02,34.8,35.0,33.84,3012482.0
2026-05-11,34.55,34.27,34.72,33.85,3037097.0
2026-05-12,34.96,34.58,35.33,34.5,4169460.0
2026-05-13,35.1,34.66,35.25,34.45,3224803.0
2026-05-14,34.49,33.52,34.76,33.5,2769481.0
2026-05-15,32.99,31.84,33.0,31.5,4482822.0
2026-05-18,30.9,31.3,31.37,30.71,2887987.0
2026-05-19,31.3,31.16,31.39,30.64,1808601.0
2026-05-20,30.53,30.39,30.64,29.92,3144897.0
2026-05-21,30.91,29.99,31.25,29.93,2956155.0
2026-05-22,30.16,30.96,31.14,29.88,2681039.0
2026-05-25,31.64,31.35,32.0,31.09,2840462.0
2026-05-26,31.16,32.9,32.98,31.02,4437216.0
2026-05-27,32.58,31.62,32.89,31.53,2616966.0
2026-05-28,31.0,30.71,31.2,30.08,3109909.0
2026-05-29,31.32,30.44,31.38,30.18,2610250.0
2026-06-01,30.22,30.19,30.7,30.12,1751622.0
2026-06-02,30.36,31.58,31.74,30.12,3333214.0
2026-06-03,31.01,31.27,31.82,30.95,2529803.0
2026-06-04,30.9,30.34,30.95,30.22,2062166.0
2026-06-05,30.3,29.63,30.85,29.53,2716213.0
2026-06-08,28.28,28.05,28.73,27.58,3775320.0
2026-06-09,28.14,28.47,28.53,27.6,2513161.0
2026-06-10,27.6,27.7,28.0,27.2,3044088.0
2026-06-11,27.2,27.33,27.69,26.8,3231431.0
2026-06-12,28.09,29.09,29.76,27.81,5098539.0
2026-06-15,30.54,31.31,31.35,30.4,5714756.0
2026-06-16,31.0,30.29,31.1,30.2,2922715.0
2026-06-17,30.5,30.43,30.95,30.12,2229817.0
2026-06-18,29.96,29.69,30.98,29.28,3620675.0
2026-06-22,29.25,30.44,30.5,28.55,3918476.0
2026-06-23,29.95,27.75,30.0,27.64,4947402.0
