date,open,close,high,low,amount
2026-02-24,79.85,82.17,82.17,79.21,730075.0
2026-02-25,85.45,85.85,86.65,83.87,1270274.0
2026-02-26,85.9,88.3,89.63,84.75,975900.0
2026-02-27,86.57,89.61,90.63,85.05,931669.0
2026-03-02,89.6,94.72,97.6,89.55,901590.0
2026-03-03,97.56,95.58,100.55,94.59,1320724.0
2026-03-04,93.6,101.3,103.23,93.6,1173658.0
2026-03-05,104.75,106.36,111.46,99.3,1552322.0
2026-03-06,106.5,114.53,115.84,105.75,1296931.0
2026-03-09,111.75,118.35,119.53,108.25,1356589.0
2026-03-10,119.24,123.26,123.75,116.3,1137800.0
2026-03-11,122.74,134.63,135.44,122.65,1258825.0
2026-03-12,133.49,127.65,141.16,123.25,2098116.0
2026-03-13,125.05,118.44,126.55,118.34,1602099.0
2026-03-16,118.49,116.96,119.54,112.63,1216256.0
2026-03-17,117.74,110.87,119.35,110.55,1131089.0
2026-03-18,114.09,114.53,115.95,111.49,984100.0
2026-03-19,112.99,119.74,122.26,112.99,1240602.0
2026-03-20,122.84,115.83,125.51,115.75,1466542.0
2026-03-23,111.05,113.09,117.83,111.05,955362.0
2026-03-24,113.29,111.75,114.9,105.3,1168697.0
2026-03-25,113.41,115.49,118.19,113.25,1034754.0
2026-03-26,105.92,105.1,109.38,104.35,1387121.0
2026-03-27,102.93,109.25,110.99,102.93,980082.0
2026-03-30,108.75,106.7,110.25,105.32,593604.0
2026-03-31,105.55,103.25,106.4,101.86,581704.0
2026-04-01,106.36,104.49,106.55,102.94,517064.0
2026-04-02,103.8,100.09,105.15,99.62,594418.0
2026-04-03,102.15,103.29,105.59,101.41,685146.0
2026-04-07,104.63,103.95,108.25,103.01,571042.0
2026-04-08,107.75,110.16,110.21,105.86,915632.0
2026-04-09,107.96,114.68,117.6,107.52,1112309.0
2026-04-10,116.75,115.67,117.43,113.65,1004298.0
2026-04-13,114.61,124.91,124.95,114.61,1117461.0
2026-04-14,119.75,120.38,124.09,117.75,1412244.0
2026-04-15,120.14,112.05,120.14,110.35,1347892.0
2026-04-16,109.65,112.07,113.55,107.6,802533.0
2026-04-17,112.75,116.43,117.33,112.54,954008.0
2026-04-20,114.93,114.73,117.95,113.45,927997.0
2026-04-21,112.75,116.03,116.83,112.31,696624.0
2026-04-22,115.23,120.7,121.08,114.98,1059522.0
2026-04-23,121.68,117.4,123.25,115.75,1006280.0
2026-04-24,114.75,115.07,117.1,112.78,693970.0
2026-04-27,115.85,118.54,121.0,115.75,901737.0
2026-04-28,118.25,115.34,119.0,114.13,655538.0
2026-04-29,114.14,118.79,120.25,114.14,832806.0
2026-04-30,118.86,119.28,120.72,114.75,920208.0
2026-05-06,122.76,124.94,129.19,121.41,1088860.0
2026-05-07,125.54,133.25,134.27,123.55,1066791.0
2026-05-08,130.54,136.44,136.65,129.03,1057049.0
2026-05-11,139.73,147.31,148.53,139.68,1053847.0
2026-05-12,146.73,143.91,150.25,143.75,990431.0
2026-05-13,139.75,141.85,143.37,136.55,976177.0
2026-05-14,143.63,137.15,145.95,137.1,905534.0
2026-05-15,137.85,133.73,142.73,130.01,886672.0
2026-05-18,137.28,147.13,147.13,136.78,676805.0
2026-05-19,150.81,158.15,159.44,147.03,1422733.0
2026-05-20,158.16,163.17,170.63,158.16,1306426.0
2026-05-21,163.76,153.71,165.55,152.74,1211819.0
2026-05-22,155.3,156.06,158.89,153.35,908112.0
2026-05-25,156.75,171.69,171.69,155.25,1090618.0
2026-05-26,171.69,170.07,175.55,165.71,1116062.0
2026-05-27,166.7,159.63,170.74,158.75,1070289.0
2026-05-28,157.76,165.38,166.85,155.46,815956.0
2026-05-29,166.09,151.67,166.09,150.03,1057532.0
2026-06-01,154.65,142.82,154.67,142.33,850159.0
2026-06-02,144.55,149.0,151.11,140.97,775330.0
2026-06-03,153.73,154.14,160.43,150.45,1014860.0
2026-06-04,149.76,158.11,160.84,149.76,764054.0
2026-06-05,156.05,156.95,165.62,155.61,921741.0
2026-06-08,145.75,148.6,154.53,145.75,687510.0
2026-06-09,152.37,155.28,155.54,148.77,649279.0
2026-06-10,152.55,148.75,152.88,146.76,524023.0
2026-06-11,147.76,150.25,152.25,146.88,491338.0
2026-06-12,155.01,151.01,155.58,151.01,627813.0
2026-06-15,152.98,160.98,160.99,147.01,769126.0
2026-06-16,161.0,164.0,166.66,159.08,776303.0
2026-06-17,161.65,170.51,172.8,161.0,771903.0
2026-06-18,169.11,177.55,181.57,168.72,780774.0
2026-06-22,180.91,174.67,181.05,169.46,905966.0
2026-06-23,172.79,163.66,172.79,162.51,766124.0
