date,open,close,high,low,amount
2026-02-24,541.0,553.0,571.02,521.0,356558.0
2026-02-25,549.0,565.07,568.86,547.0,214792.0
2026-02-26,565.07,571.22,573.0,558.0,252800.0
2026-02-27,554.0,533.0,558.98,530.11,347125.0
2026-03-02,519.0,569.58,579.0,519.0,493103.0
2026-03-03,569.8,562.8,598.04,562.28,393101.0
2026-03-04,553.02,538.0,562.5,535.5,307429.0
2026-03-05,555.0,556.0,584.0,551.6,379004.0
2026-03-06,552.0,544.48,558.98,536.06,219668.0
2026-03-09,519.1,524.99,527.3,505.0,314743.0
2026-03-10,539.0,546.0,547.98,529.02,283094.0
2026-03-11,556.0,553.68,567.9,552.0,238972.0
2026-03-12,556.25,533.8,562.58,527.5,239117.0
2026-03-13,525.5,541.02,547.88,524.01,211982.0
2026-03-16,548.05,560.7,564.0,539.32,274320.0
2026-03-17,569.0,542.0,576.88,538.0,300410.0
2026-03-18,552.86,579.0,581.05,549.0,377805.0
2026-03-19,579.0,574.2,591.8,568.9,331408.0
2026-03-20,604.0,611.0,631.72,603.1,538539.0
2026-03-23,589.31,598.62,617.1,584.0,378520.0
2026-03-24,598.0,602.19,604.0,576.0,282636.0
2026-03-25,624.0,627.4,634.0,615.05,335631.0
2026-03-26,625.89,613.2,644.0,611.83,262769.0
2026-03-27,597.85,597.0,608.88,587.66,224326.0
2026-03-30,584.0,588.08,594.58,578.0,209255.0
2026-03-31,570.0,568.41,584.9,554.0,261202.0
2026-04-01,590.0,600.87,601.0,580.2,255405.0
2026-04-02,592.01,581.0,595.77,577.69,177310.0
2026-04-03,599.0,605.52,624.0,593.35,290271.0
2026-04-07,607.0,618.53,635.66,596.7,239031.0
2026-04-08,652.53,687.14,687.26,642.0,396630.0
2026-04-09,681.0,692.02,699.0,677.01,249619.0
2026-04-10,699.0,733.65,742.04,693.01,330801.0
2026-04-13,737.8,737.0,743.0,713.23,228876.0
2026-04-14,749.0,772.0,785.22,747.78,292668.0
2026-04-15,786.0,778.98,807.83,765.0,323452.0
2026-04-16,771.37,808.61,809.11,761.35,286570.0
2026-04-17,840.0,850.0,864.0,819.24,398572.0
2026-04-20,848.0,849.0,877.98,839.58,272631.0
2026-04-21,848.75,863.86,867.0,838.0,251138.0
2026-04-22,858.3,885.62,892.2,853.0,294383.0
2026-04-23,889.0,896.0,918.99,876.78,309869.0
2026-04-24,899.25,885.99,914.0,853.53,383884.0
2026-04-27,898.0,856.03,899.0,853.0,318149.0
2026-04-28,853.0,824.0,853.0,820.0,295109.0
2026-04-29,815.23,845.0,862.0,815.23,251731.0
2026-04-30,863.66,857.5,874.65,845.0,212710.0
2026-05-06,888.5,856.0,889.0,840.45,309386.0
2026-05-07,858.0,877.47,889.15,835.0,277190.0
2026-05-08,864.95,886.0,898.95,861.56,197641.0
2026-05-11,889.06,940.13,946.79,870.0,322655.0
2026-05-12,961.0,1017.99,1022.9,960.0,345421.0
2026-05-13,999.68,1049.2,1052.2,991.12,260005.0
2026-05-14,1065.0,1078.0,1088.88,1025.1,300571.0
2026-05-15,1068.99,1049.87,1099.87,1034.0,276253.0
2026-05-18,1030.03,1045.0,1075.0,1030.03,243132.0
2026-05-19,1026.0,1030.0,1037.38,988.88,272749.0
2026-05-20,1019.11,1037.0,1071.0,1019.11,225973.0
2026-05-21,1060.0,993.34,1065.0,993.34,237726.0
2026-05-22,1010.04,1037.98,1044.87,1006.18,209338.0
2026-05-25,1054.99,1093.0,1094.98,1025.55,250761.0
2026-05-26,1079.0,1103.0,1110.0,1076.0,234391.0
2026-05-27,1090.0,1111.37,1147.0,1088.67,250688.0
2026-05-28,1100.0,1197.99,1199.79,1085.56,287465.0
2026-05-29,1190.0,1161.16,1209.99,1155.0,287268.0
2026-06-01,1161.0,1130.0,1183.61,1113.9,269782.0
2026-06-02,1153.6,1191.81,1205.58,1140.01,290063.0
2026-06-03,1220.0,1275.0,1320.0,1220.0,345251.0
2026-06-04,1250.0,1280.0,1290.0,1241.36,217142.0
2026-06-05,1273.2,1179.99,1301.51,1160.0,474741.0
2026-06-08,1132.79,1154.99,1179.45,1132.0,336120.0
2026-06-09,1140.97,1180.0,1196.16,1126.9,398930.0
2026-06-10,1150.0,1147.0,1174.0,1128.8,228965.0
2026-06-11,1136.0,1124.0,1174.9,1093.0,305924.0
2026-06-12,1182.0,1149.0,1188.5,1128.18,346851.0
2026-06-15,1175.0,1245.0,1245.0,1122.0,342237.0
2026-06-16,1240.0,1248.09,1273.68,1232.46,232822.0
2026-06-17,1228.0,1276.11,1276.13,1220.05,217562.0
2026-06-18,1270.0,1367.88,1368.5,1268.73,285516.0
2026-06-22,1367.78,1382.33,1416.88,1343.38,280333.0
2026-06-23,1395.0,1310.01,1395.0,1300.0,291773.0
