date,open,close,high,low,amount
2026-02-24,233.79,250.22,255.88,233.79,362359.0
2026-02-25,251.15,243.44,253.07,234.38,332606.0
2026-02-26,245.21,258.09,269.01,245.21,433935.0
2026-02-27,243.09,262.86,268.14,242.54,406812.0
2026-03-02,261.54,249.5,277.31,247.08,543114.0
2026-03-03,260.09,238.47,260.21,237.0,445294.0
2026-03-04,234.0,239.19,244.56,230.93,288056.0
2026-03-05,243.79,238.64,246.62,231.7,327860.0
2026-03-06,238.48,230.13,239.71,226.64,332154.0
2026-03-09,218.61,218.76,221.27,208.07,378965.0
2026-03-10,234.5,242.7,243.7,231.65,380508.0
2026-03-11,244.28,235.93,245.53,234.71,267574.0
2026-03-12,235.93,238.1,240.07,224.22,356861.0
2026-03-13,230.34,231.64,237.59,229.59,224433.0
2026-03-16,231.69,221.76,232.79,214.75,352004.0
2026-03-17,205.21,199.5,206.18,197.48,532355.0
2026-03-18,209.49,216.14,217.24,208.79,460771.0
2026-03-19,217.76,219.49,225.64,214.5,321089.0
2026-03-20,238.79,222.36,239.95,222.36,400797.0
2026-03-23,213.83,212.71,220.21,210.66,274295.0
2026-03-24,212.71,212.86,220.13,207.0,308548.0
2026-03-25,223.07,226.71,236.29,222.49,383149.0
2026-03-26,226.76,231.64,241.64,225.78,401077.0
2026-03-27,221.64,226.36,232.25,215.39,288743.0
2026-03-30,223.9,225.79,229.5,219.5,231079.0
2026-03-31,219.93,214.93,225.21,212.51,270576.0
2026-04-01,225.69,237.59,238.7,222.99,421999.0
2026-04-02,234.58,230.07,239.54,228.07,281924.0
2026-04-03,240.7,237.97,245.5,237.79,319238.0
2026-04-07,238.09,226.19,240.09,224.39,329008.0
2026-04-08,235.21,240.21,241.88,228.07,464132.0
2026-04-09,240.23,247.29,256.44,236.02,484902.0
2026-04-10,247.29,255.86,260.25,243.36,485053.0
2026-04-13,252.36,250.21,254.71,243.07,374618.0
2026-04-14,251.14,246.53,258.79,245.07,447787.0
2026-04-15,246.53,235.69,248.06,233.43,415124.0
2026-04-16,233.79,253.48,256.48,232.11,485741.0
2026-04-17,257.99,270.41,273.54,256.74,456069.0
2026-04-20,268.19,267.0,276.64,261.65,404531.0
2026-04-21,245.95,251.64,264.42,245.93,551996.0
2026-04-22,247.11,267.65,271.29,243.79,519330.0
2026-04-23,267.79,249.56,269.5,244.86,557550.0
2026-04-24,244.01,230.84,246.69,225.43,551411.0
2026-04-27,231.64,229.68,237.35,226.57,358152.0
2026-04-28,228.87,220.79,229.24,219.36,345652.0
2026-04-29,217.36,221.71,226.29,217.36,254082.0
2026-04-30,222.98,219.14,224.43,217.36,235989.0
2026-05-06,222.96,225.33,239.91,221.64,540668.0
2026-05-07,229.5,233.89,235.93,217.36,581696.0
2026-05-08,228.89,232.57,238.88,228.07,356609.0
2026-05-11,237.59,236.59,238.79,226.71,464232.0
2026-05-12,242.36,244.11,249.0,239.72,505921.0
2026-05-13,244.11,269.64,273.64,244.0,726252.0
2026-05-14,281.3,279.5,289.9,273.07,679866.0
2026-05-15,285.93,285.21,295.27,272.29,676096.0
2026-05-18,277.35,274.46,281.07,263.79,543490.0
2026-05-19,268.13,258.79,268.79,247.45,546191.0
2026-05-20,256.84,255.92,263.07,250.21,416244.0
2026-05-21,256.79,240.36,259.91,239.49,418305.0
2026-05-22,246.64,265.57,267.36,246.06,572916.0
2026-05-25,265.86,282.89,283.62,257.77,524322.0
2026-05-26,284.5,290.04,292.36,280.21,472980.0
2026-05-27,288.04,305.65,317.1,286.52,518277.0
2026-05-28,304.93,319.19,321.04,291.64,488237.0
2026-05-29,333.07,324.64,351.2,322.36,615055.0
2026-06-01,327.89,305.84,332.14,305.49,441243.0
2026-06-02,310.27,325.93,330.22,302.69,475258.0
2026-06-03,357.36,354.77,374.5,344.49,599370.0
2026-06-04,341.58,342.68,350.43,340.12,352976.0
2026-06-05,344.5,325.93,357.98,320.21,471206.0
2026-06-08,313.07,303.15,315.78,296.44,421234.0
2026-06-09,312.27,316.59,317.78,306.29,350773.0
2026-06-10,298.07,293.13,303.07,287.39,447797.0
2026-06-11,294.16,294.0,302.96,286.64,333287.0
2026-06-12,303.02,280.95,305.0,280.95,474289.0
2026-06-15,286.56,305.04,306.12,277.18,541728.0
2026-06-16,311.56,324.71,331.61,306.01,578379.0
2026-06-17,318.0,329.33,329.97,315.0,467027.0
2026-06-18,325.0,336.6,340.49,324.0,491851.0
2026-06-22,338.0,326.12,338.9,315.99,619272.0
2026-06-23,326.12,311.06,326.12,308.24,458309.0
